Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 731 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 1                1                404330.*         28FEB2011 1200    10214.67 
 1                1                404330.*         01MAR2011 0000    10892.07 
 1                1                404330.*         01MAR2011 1200    11573.92 
 1                1                404330.*         02MAR2011 0000    12203.62 
 1                1                404330.*         02MAR2011 1200    12814.74 
 1                1                404330.*         03MAR2011 0000    13417.56 
 1                1                404330.*         03MAR2011 1200    14057.88 
 1                1                404330.*         04MAR2011 0000    14754.01 
 1                1                404330.*         04MAR2011 1200    15392.87 
 1                1                404330.*         05MAR2011 0000    15937.55 
 1                1                404330.*         05MAR2011 1200    16585.56 
 1                1                404330.*         06MAR2011 0000    17387.38 
 1                1                404330.*         06MAR2011 1200    18051.44 
 1                1                404330.*         07MAR2011 0000    18516.98 
 1                1                404330.*         07MAR2011 1200    18888.46 
 1                1                404330.*         08MAR2011 0000    19194.19 
 1                1                404330.*         08MAR2011 1200    19602.58 
 1                1                404330.*         09MAR2011 0000    20133.89 
 1                1                404330.*         09MAR2011 1200    20752.30 
 1                1                404330.*         10MAR2011 0000    21442.24 
 1                1                404330.*         10MAR2011 1200    22005.22 
 1                1                404330.*         11MAR2011 0000    22426.86 
 1                1                404330.*         11MAR2011 1200    22751.34 
 1                1                404330.*         12MAR2011 0000    23002.93 
 1                1                404330.*         12MAR2011 1200    23216.85 
 1                1                404330.*         13MAR2011 0000    23404.29 
 1                1                404330.*         13MAR2011 1200    23603.12 
 1                1                404330.*         14MAR2011 0000    23815.74 
 1                1                404330.*         14MAR2011 1200    23922.30 
 1                1                404330.*         15MAR2011 0000    23932.01 
 1                1                404330.*         15MAR2011 1200    24007.38 
 1                1                404330.*         16MAR2011 0000    24151.11 
 1                1                404330.*         16MAR2011 1200    24319.65 
 1                1                404330.*         17MAR2011 0000    24502.70 
 1                1                404330.*         17MAR2011 1200    24583.59 
 1                1                404330.*         18MAR2011 0000    24572.61 
 1                1                404330.*         18MAR2011 1200    24648.15 
 1                1                404330.*         19MAR2011 0000    24809.30 
 1                1                404330.*         19MAR2011 1200    24970.21 
 1                1                404330.*         20MAR2011 0000    25121.84 
 1                1                404330.*         20MAR2011 1200    25289.52 
 1                1                404330.*         21MAR2011 0000    25471.94 
 1                1                404330.*         21MAR2011 1200    25561.33 
 1                1                404330.*         22MAR2011 0000    25569.69 
 1                1                404330.*         22MAR2011 1200    25637.41 
 1                1                404330.*         23MAR2011 0000    25763.35 
 1                1                404330.*         23MAR2011 1200    25896.93 
 1                1                404330.*         24MAR2011 0000    26031.99 
 1                1                404330.*         24MAR2011 1200    26174.73 
 1                1                404330.*         25MAR2011 0000    26322.95 
 1                1                404330.*         25MAR2011 1200    26473.03 
 1                1                404330.*         26MAR2011 0000    26624.44 
 1                1                404330.*         26MAR2011 1200    26749.25 
 1                1                404330.*         27MAR2011 0000    26851.70 
 1                1                404330.*         27MAR2011 1200    26981.20 
 1                1                404330.*         28MAR2011 0000    27135.37 
 1                1                404330.*         28MAR2011 1200    27162.41 
 1                1                404330.*         29MAR2011 0000    27081.28 
 1                1                404330.*         29MAR2011 1200    27097.79 
 1                1                404330.*         30MAR2011 0000    27207.15 
 1                1                404330.*         30MAR2011 1200    27338.57 
 1                1                404330.*         31MAR2011 0000    27474.30 
 1                1                404330.*         31MAR2011 1200    27605.90 
 1                1                404330.*         01APR2011 0000    27738.41 
 1                1                404330.*         01APR2011 1200    27835.00 
 1                1                404330.*         02APR2011 0000    27899.83 
 1                1                404330.*         02APR2011 1200    28001.19 
 1                1                404330.*         03APR2011 0000    28135.50 
 1                1                404330.*         03APR2011 1200    28137.46 
 1                1                404330.*         04APR2011 0000    28029.10 
 1                1                404330.*         04APR2011 1200    27833.52 
 1                1                404330.*         05APR2011 0000    27576.05 
 1                1                404330.*         05APR2011 1200    27368.99 
 1                1                404330.*         06APR2011 0000    27207.30 
 1                1                404330.*         06APR2011 1200    27046.58 
 1                1                404330.*         07APR2011 0000    26882.41 
 1                1                404330.*         07APR2011 1200    26706.12 
 1                1                404330.*         08APR2011 0000    26520.28 
 1                1                404330.*         08APR2011 1200    26375.31 
 1                1                404330.*         09APR2011 0000    26264.06 
 1                1                404330.*         09APR2011 1200    26051.14 
 1                1                404330.*         10APR2011 0000    25752.31 
 1                1                404330.*         10APR2011 1200    25413.92 
 1                1                404330.*         11APR2011 0000    25049.84 
 1                1                404330.*         11APR2011 1200    24663.17 
 1                1                404330.*         12APR2011 0000    24260.67 
 1                1                404330.*         12APR2011 1200    23867.06 
 1                1                404330.*         13APR2011 0000    23480.76 
 1                1                404330.*         13APR2011 1200    23115.09 
 1                1                404330.*         14APR2011 0000    22767.49 
 1                1                404330.*         14APR2011 1200    22462.59 
 1                1                404330.*         15APR2011 0000    22191.52 
 1                1                404330.*         15APR2011 1200    21935.58 
 1                1                404330.*         16APR2011 0000    21690.04 
 1                1                404330.*         16APR2011 1200    21481.10 
 1                1                404330.*         17APR2011 0000    21303.55 
 1                1                404330.*         17APR2011 1200    21172.98 
 1                1                404330.*         18APR2011 0000    21081.07 
 1                1                404330.*         18APR2011 1200    21033.75 
 1                1                404330.*         19APR2011 0000    21023.27 
 1                1                404330.*         19APR2011 1200    21012.31 
 1                1                404330.*         20APR2011 0000    20996.66 
 1                1                404330.*         20APR2011 1200    21018.97 
 1                1                404330.*         21APR2011 0000    21077.19 
 1                1                404330.*         21APR2011 1200    21142.80 
 1                1                404330.*         22APR2011 0000    21210.44 
 1                1                404330.*         22APR2011 1200    21306.50 
 1                1                404330.*         23APR2011 0000    21429.23 
 1                1                404330.*         23APR2011 1200    21536.25 
 1                1                404330.*         24APR2011 0000    21625.16 
 1                1                404330.*         24APR2011 1200    21751.57 
 1                1                404330.*         25APR2011 0000    21914.59 
 1                1                404330.*         25APR2011 1200    22134.65 
 1                1                404330.*         26APR2011 0000    22404.34 
 1                1                404330.*         26APR2011 1200    22666.11 
 1                1                404330.*         27APR2011 0000    22913.77 
 1                1                404330.*         27APR2011 1200    23134.52 
 1                1                404330.*         28APR2011 0000    23333.70 
 1                1                404330.*         28APR2011 1200    23575.57 
 1                1                404330.*         29APR2011 0000    23857.44 
 1                1                404330.*         29APR2011 1200    24160.70 
 1                1                404330.*         30APR2011 0000    24479.09 
 1                1                404330.*         30APR2011 1200    24873.14 
 1                1                404330.*         01MAY2011 0000    25333.33 
 1                1                404330.*         01MAY2011 1200    25896.61 
 1                1                404330.*         02MAY2011 0000    26544.24 
 1                1                404330.*         02MAY2011 1200    27259.78 
 1                1                404330.*         03MAY2011 0000    28026.32 
 1                1                404330.*         03MAY2011 1200    28682.08 
 1                1                404330.*         04MAY2011 0000    29239.24 
 1                1                404330.*         04MAY2011 1200    29794.90 
 1                1                404330.*         05MAY2011 0000    30356.34 
 1                1                404330.*         05MAY2011 1200    30882.92 
 1                1                404330.*         06MAY2011 0000    31382.48 
 1                1                404330.*         06MAY2011 1200    31925.35 
 1                1                404330.*         07MAY2011 0000    32504.46 
 1                1                404330.*         07MAY2011 1200    33196.91 
 1                1                404330.*         08MAY2011 0000    33976.73 
 1                1                404330.*         08MAY2011 1200    34923.51 
 1                1                404330.*         09MAY2011 0000    36001.98 
 1                1                404330.*         09MAY2011 1200    36872.78 
 1                1                404330.*         10MAY2011 0000    37571.41 
 1                1                404330.*         10MAY2011 1200    38187.68 
 1                1                404330.*         11MAY2011 0000    38752.71 
 1                1                404330.*         11MAY2011 1200    39286.79 
 1                1                404330.*         12MAY2011 0000    39804.45 
 1                1                404330.*         12MAY2011 1200    40284.28 
 1                1                404330.*         13MAY2011 0000    40734.38 
