Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
153	02Jun2011 2400	29.35	38059.41
154	03Jun2011 2400	29.20	37579.10
155	04Jun2011 2400	29.02	37045.24
156	05Jun2011 2400	28.79	36371.13
157	06Jun2011 2400	28.57	35717.46
158	07Jun2011 2400	28.37	35111.17
159	08Jun2011 2400	28.21	34650.12
160	09Jun2011 2400	28.05	34175.59
161	10Jun2011 2400	27.91	33772.51
162	11Jun2011 2400	27.75	33319.79
163	12Jun2011 2400	27.57	32807.90
164	13Jun2011 2400	27.38	32263.51
165	14Jun2011 2400	27.18	31707.64
166	15Jun2011 2400	26.98	31147.11
167	16Jun2011 2400	26.78	30585.51
168	17Jun2011 2400	26.54	29911.34
169	18Jun2011 2400	26.30	29255.58
170	19Jun2011 2400	26.03	28525.74
171	20Jun2011 2400	25.76	27798.36
172	21Jun2011 2400	25.50	27107.88
173	22Jun2011 2400	25.22	26380.07
174	23Jun2011 2400	24.91	25577.92
175	24Jun2011 2400	24.58	24734.62
176	25Jun2011 2400	24.24	23886.93
177	26Jun2011 2400	23.92	23095.30
178	27Jun2011 2400	23.65	22413.56
179	28Jun2011 2400	23.42	21862.72
180	29Jun2011 2400	23.24	21448.14
181	30Jun2011 2400	23.12	21144.65
182	01Jul2011 2400	23.02	20912.23
183	02Jul2011 2400	22.94	20717.03
184	03Jul2011 2400	22.86	20548.14
185	04Jul2011 2400	22.81	20413.61
186	05Jul2011 2400	22.80	20391.55
187	06Jul2011 2400	22.81	20421.61
188	07Jul2011 2400	22.82	20439.64
189	08Jul2011 2400	22.82	20444.61
190	09Jul2011 2400	22.82	20454.79
191	10Jul2011 2400	22.82	20444.98
192	11Jul2011 2400	22.80	20412.03
193	12Jul2011 2400	22.78	20355.69
194	13Jul2011 2400	22.74	20254.97
195	14Jul2011 2400	22.67	20098.89
196	15Jul2011 2400	22.58	19886.88
197	16Jul2011 2400	22.47	19637.00
198	17Jul2011 2400	22.36	19385.74
199	18Jul2011 2400	22.26	19164.54
200	19Jul2011 2400	22.16	18943.17
201	20Jul2011 2400	22.05	18681.12
202	21Jul2011 2400	21.91	18381.29
203	22Jul2011 2400	21.76	18041.38
204	23Jul2011 2400	21.58	17649.02
205	24Jul2011 2400	21.37	17187.28
206	25Jul2011 2400	21.15	16710.80
207	26Jul2011 2400	20.96	16311.42
208	27Jul2011 2400	20.80	15979.83
209	28Jul2011 2400	20.64	15656.81
210	29Jul2011 2400	20.45	15261.45
211	30Jul2011 2400	20.22	14798.32
212	31Jul2011 2400	19.98	14318.23
213	01Aug2011 2400	19.76	13884.69
214	02Aug2011 2400	19.58	13526.60
215	03Aug2011 2400	19.44	13263.97
216	04Aug2011 2400	19.36	13098.16
217	05Aug2011 2400	19.29	12978.70
218	06Aug2011 2400	19.23	12870.06
219	07Aug2011 2400	19.18	12761.01
220	08Aug2011 2400	19.11	12642.67
221	09Aug2011 2400	19.05	12521.94
222	10Aug2011 2400	18.99	12419.52
223	11Aug2011 2400	18.95	12344.91
224	12Aug2011 2400	18.93	12307.92
225	13Aug2011 2400	18.93	12309.66
226	14Aug2011 2400	18.96	12354.16
227	15Aug2011 2400	18.99	12409.12
228	16Aug2011 2400	19.00	12441.24
229	17Aug2011 2400	18.99	12408.17
230	18Aug2011 2400	18.93	12304.74
231	19Aug2011 2400	18.85	12153.19
232	20Aug2011 2400	18.74	11960.65
233	21Aug2011 2400	18.62	11740.00
234	22Aug2011 2400	18.48	11493.37
235	23Aug2011 2400	18.34	11245.24
236	24Aug2011 2400	18.22	11034.08
237	25Aug2011 2400	18.13	10880.32
238	26Aug2011 2400	18.06	10759.31
239	27Aug2011 2400	18.00	10647.74
240	28Aug2011 2400	17.93	10530.17
241	29Aug2011 2400	17.85	10396.07
242	30Aug2011 2400	17.76	10241.03
243	31Aug2011 2400	17.66	10087.23
244	01Sep2011 2400	17.61	9995.25
245	02Sep2011 2400	17.66	10079.59
246	03Sep2011 2400	17.78	10288.56
247	04Sep2011 2400	17.97	10602.17
248	05Sep2011 2400	18.06	10757.73
249	06Sep2011 2400	18.03	10696.49
250	07Sep2011 2400	17.90	10489.76
251	08Sep2011 2400	17.73	10204.27
252	09Sep2011 2400	17.54	9885.85
253	10Sep2011 2400	17.34	9565.56
254	11Sep2011 2400	17.16	9274.32
255	12Sep2011 2400	17.01	9034.70
256	13Sep2011 2400	16.91	8877.02
257	14Sep2011 2400	16.87	8822.86
258	15Sep2011 2400	16.90	8867.91
259	16Sep2011 2400	16.98	8980.25
260	17Sep2011 2400	17.06	9121.24
261	18Sep2011 2400	17.15	9249.28
262	19Sep2011 2400	17.20	9331.13
263	20Sep2011 2400	17.21	9346.46
264	21Sep2011 2400	17.17	9291.78
265	22Sep2011 2400	17.11	9189.57
266	23Sep2011 2400	17.01	9038.73
267	24Sep2011 2400	16.88	8839.91
268	25Sep2011 2400	16.73	8612.12
269	26Sep2011 2400	16.58	8385.40
270	27Sep2011 2400	16.44	8179.20
271	28Sep2011 2400	16.34	8019.26
272	29Sep2011 2400	16.25	7900.83
273	30Sep2011 2400	16.20	7826.56
274	01Oct2011 2400	16.19	7811.53
275	02Oct2011 2400	16.22	7850.10
276	03Oct2011 2400	16.27	7925.57
277	04Oct2011 2400	16.35	8033.26
278	05Oct2011 2400	16.43	8156.16
279	06Oct2011 2400	16.52	8286.02
280	07Oct2011 2400	16.60	8414.98
281	08Oct2011 2400	16.68	8528.03
282	09Oct2011 2400	16.72	8582.98
283	10Oct2011 2400	16.68	8528.30
284	11Oct2011 2400	16.58	8377.94
285	12Oct2011 2400	16.45	8190.43
286	13Oct2011 2400	16.33	8010.96
287	14Oct2011 2400	16.22	7848.86
288	15Oct2011 2400	16.10	7683.25
289	16Oct2011 2400	15.98	7514.24
290	17Oct2011 2400	15.87	7357.79
291	18Oct2011 2400	15.75	7193.16
292	19Oct2011 2400	15.60	6995.33
293	20Oct2011 2400	15.40	6735.75
294	21Oct2011 2400	15.18	6450.32
295	22Oct2011 2400	14.99	6225.90
296	23Oct2011 2400	14.88	6087.21
297	24Oct2011 2400	14.84	6035.72
298	25Oct2011 2400	14.85	6053.28
299	26Oct2011 2400	14.91	6126.24
300	27Oct2011 2400	15.01	6239.55
301	28Oct2011 2400	15.12	6377.48
302	29Oct2011 2400	15.26	6554.28
303	30Oct2011 2400	15.41	6741.74
304	31Oct2011 2400	15.54	6917.00
305	01Nov2011 2400	15.66	7080.48
