Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 04  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 366 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 Mississippi      2                173029           19APR2008 0000     8407.54 
 Mississippi      2                173029           20APR2008 0000     8511.49 
 Mississippi      2                173029           21APR2008 0000     8730.94 
 Mississippi      2                173029           22APR2008 0000     8875.51 
 Mississippi      2                173029           23APR2008 0000     8854.27 
 Mississippi      2                173029           24APR2008 0000     8860.74 
 Mississippi      2                173029           25APR2008 0000     8919.80 
 Mississippi      2                173029           26APR2008 0000     9004.78 
 Mississippi      2                173029           27APR2008 0000     9074.45 
 Mississippi      2                173029           28APR2008 0000     9212.00 
 Mississippi      2                173029           29APR2008 0000     9242.08 
 Mississippi      2                173029           30APR2008 0000     9172.56 
 Mississippi      2                173029           01MAY2008 0000     9214.17 
 Mississippi      2                173029           02MAY2008 0000     9363.61 
 Mississippi      2                173029           03MAY2008 0000     9550.29 
 Mississippi      2                173029           04MAY2008 0000     9774.03 
 Mississippi      2                173029           05MAY2008 0000     9931.60 
 Mississippi      2                173029           06MAY2008 0000     9976.13 
 Mississippi      2                173029           07MAY2008 0000     9892.32 
 Mississippi      2                173029           08MAY2008 0000     9647.34 
 Mississippi      2                173029           09MAY2008 0000     9258.79 
 Mississippi      2                173029           10MAY2008 0000     8906.72 
 Mississippi      2                173029           11MAY2008 0000     8648.87 
 Mississippi      2                173029           12MAY2008 0000     8461.29 
 Mississippi      2                173029           13MAY2008 0000     8517.50 
 Mississippi      2                173029           14MAY2008 0000     8856.61 
 Mississippi      2                173029           15MAY2008 0000     9034.61 
 Mississippi      2                173029           16MAY2008 0000     9013.43 
 Mississippi      2                173029           17MAY2008 0000     8951.45 
 Mississippi      2                173029           18MAY2008 0000     8857.74 
 Mississippi      2                173029           19MAY2008 0000     8703.83 
 Mississippi      2                173029           20MAY2008 0000     8496.54 
 Mississippi      2                173029           21MAY2008 0000     8244.96 
 Mississippi      2                173029           22MAY2008 0000     7921.11 
 Mississippi      2                173029           23MAY2008 0000     7561.59 
 Mississippi      2                173029           24MAY2008 0000     7185.49 
 Mississippi      2                173029           25MAY2008 0000     6843.07 
 Mississippi      2                173029           26MAY2008 0000     6520.55 
 Mississippi      2                173029           27MAY2008 0000     6270.72 
 Mississippi      2                173029           28MAY2008 0000     5987.28 
 Mississippi      2                173029           29MAY2008 0000     5829.90 
 Mississippi      2                173029           30MAY2008 0000     5806.83 
 Mississippi      2                173029           31MAY2008 0000     5799.62 
 Mississippi      2                173029           01JUN2008 0000     5824.31 
 Mississippi      2                173029           02JUN2008 0000     5777.18 
 Mississippi      2                173029           03JUN2008 0000     5847.82 
 Mississippi      2                173029           04JUN2008 0000     6165.15 
 Mississippi      2                173029           05JUN2008 0000     7180.34 
 Mississippi      2                173029           06JUN2008 0000     7953.68 
 Mississippi      2                173029           07JUN2008 0000     8231.00 
 Mississippi      2                173029           08JUN2008 0000     8242.10 
 Mississippi      2                173029           09JUN2008 0000     8122.50 
 Mississippi      2                173029           10JUN2008 0000     8155.41 
 Mississippi      2                173029           11JUN2008 0000     8520.13 
 Mississippi      2                173029           12JUN2008 0000     8983.93 
 Mississippi      2                173029           13JUN2008 0000     9293.58 
 Mississippi      2                173029           14JUN2008 0000     9730.03 
 Mississippi      2                173029           15JUN2008 0000    10741.90 
 Mississippi      2                173029           16JUN2008 0000    12252.72 
 Mississippi      2                173029           17JUN2008 0000    13138.36 
 Mississippi      2                173029           18JUN2008 0000    13657.37 
 Mississippi      2                173029           19JUN2008 0000    14157.00 
 Mississippi      2                173029           20JUN2008 0000    13655.17 
 Mississippi      2                173029           21JUN2008 0000    13334.14 
 Mississippi      2                173029           22JUN2008 0000    13755.42 
 Mississippi      2                173029           23JUN2008 0000    14124.76 
 Mississippi      2                173029           24JUN2008 0000    14211.57 
 Mississippi      2                173029           25JUN2008 0000    14057.31 
 Mississippi      2                173029           26JUN2008 0000    13900.68 
 Mississippi      2                173029           27JUN2008 0000    13801.95 
 Mississippi      2                173029           28JUN2008 0000    13503.25 
 Mississippi      2                173029           29JUN2008 0000    13037.06 
 Mississippi      2                173029           30JUN2008 0000    12490.92 
 Mississippi      2                173029           01JUL2008 0000    11922.13 
 Mississippi      2                173029           02JUL2008 0000    11238.12 
 Mississippi      2                173029           03JUL2008 0000    10605.47 
 Mississippi      2                173029           04JUL2008 0000    10004.14 
 Mississippi      2                173029           05JUL2008 0000     9392.64 
 Mississippi      2                173029           06JUL2008 0000     8859.81 
 Mississippi      2                173029           07JUL2008 0000     8410.07 
 Mississippi      2                173029           08JUL2008 0000     7928.00 
 Mississippi      2                173029           09JUL2008 0000     7551.80 
 Mississippi      2                173029           10JUL2008 0000     7404.54 
 Mississippi      2                173029           11JUL2008 0000     7192.75 
 Mississippi      2                173029           12JUL2008 0000     7013.04 
 Mississippi      2                173029           13JUL2008 0000     6873.05 
 Mississippi      2                173029           14JUL2008 0000     6658.02 
 Mississippi      2                173029           15JUL2008 0000     6477.07 
 Mississippi      2                173029           16JUL2008 0000     6403.73 
 Mississippi      2                173029           17JUL2008 0000     6351.90 
 Mississippi      2                173029           18JUL2008 0000     6231.90 
 Mississippi      2                173029           19JUL2008 0000     6063.31 
 Mississippi      2                173029           20JUL2008 0000     5925.92 
 Mississippi      2                173029           21JUL2008 0000     5773.89 
 Mississippi      2                173029           22JUL2008 0000     5650.26 
 Mississippi      2                173029           23JUL2008 0000     5657.84 
 Mississippi      2                173029           24JUL2008 0000     5768.41 
 Mississippi      2                173029           25JUL2008 0000     5893.29 
 Mississippi      2                173029           26JUL2008 0000     6031.70 
 Mississippi      2                173029           27JUL2008 0000     6084.23 
 Mississippi      2                173029           28JUL2008 0000     5864.33 
 Mississippi      2                173029           29JUL2008 0000     5637.13 
 Mississippi      2                173029           30JUL2008 0000     5486.75 
 Mississippi      2                173029           31JUL2008 0000     5650.32 
 Mississippi      2                173029           01AUG2008 0000     5743.23 
 Mississippi      2                173029           02AUG2008 0000     5574.72 
 Mississippi      2                173029           03AUG2008 0000     5082.11 
 Mississippi      2                173029           04AUG2008 0000     4631.49 
 Mississippi      2                173029           05AUG2008 0000     4291.04 
 Mississippi      2                173029           06AUG2008 0000     4107.59 
 Mississippi      2                173029           07AUG2008 0000     4026.25 
 Mississippi      2                173029           08AUG2008 0000     3829.11 
 Mississippi      2                173029           09AUG2008 0000     3789.66 
 Mississippi      2                173029           10AUG2008 0000     3716.63 
 Mississippi      2                173029           11AUG2008 0000     3580.55 
 Mississippi      2                173029           12AUG2008 0000     3371.16 
 Mississippi      2                173029           13AUG2008 0000     3045.93 
 Mississippi      2                173029           14AUG2008 0000     2758.74 
 Mississippi      2                173029           15AUG2008 0000     2766.05 
 Mississippi      2                173029           16AUG2008 0000     2827.42 
 Mississippi      2                173029           17AUG2008 0000     2740.68 
 Mississippi      2                173029           18AUG2008 0000     2628.08 
 Mississippi      2                173029           19AUG2008 0000     2459.39 
 Mississippi      2                173029           20AUG2008 0000     2323.19 
 Mississippi      2                173029           21AUG2008 0000     2189.25 
 Mississippi      2                173029           22AUG2008 0000     2130.57 
 Mississippi      2                173029           23AUG2008 0000     2026.59 
 Mississippi      2                173029           24AUG2008 0000     1770.91 
 Mississippi      2                173029           25AUG2008 0000     1546.98 
 Mississippi      2                173029           26AUG2008 0000     1456.09 
 Mississippi      2                173029           27AUG2008 0000     1473.23 
 Mississippi      2                173029           28AUG2008 0000     1533.68 
 Mississippi      2                173029           29AUG2008 0000     1636.77 
 Mississippi      2                173029           30AUG2008 0000     1642.33 
 Mississippi      2                173029           31AUG2008 0000     1698.81 
 Mississippi      2                173029           01SEP2008 0000     1785.11 
 Mississippi      2                173029           02SEP2008 0000     1775.58 
 Mississippi      2                173029           03SEP2008 0000     1737.70 
 Mississippi      2                173029           04SEP2008 0000     1831.20 
 Mississippi      2                173029           05SEP2008 0000     2098.93 
 Mississippi      2                173029           06SEP2008 0000     1910.46 
 Mississippi      2                173029           07SEP2008 0000     1726.60 
 Mississippi      2                173029           08SEP2008 0000     1730.20 
 Mississippi      2                173029           09SEP2008 0000     1997.15 
 Mississippi      2                173029           10SEP2008 0000     2307.70 
 Mississippi      2                173029           11SEP2008 0000     2315.14 
 Mississippi      2                173029           12SEP2008 0000     2221.64 
 Mississippi      2                173029           13SEP2008 0000     2096.66 
 Mississippi      2                173029           14SEP2008 0000     4113.66 
 Mississippi      2                173029           15SEP2008 0000     6949.99 
 Mississippi      2                173029           16SEP2008 0000     7885.27 
 Mississippi      2                173029           17SEP2008 0000     8138.63 
 Mississippi      2                173029           18SEP2008 0000     8165.13 
 Mississippi      2                173029           19SEP2008 0000     7585.68 
 Mississippi      2                173029           20SEP2008 0000     6003.27 
 Mississippi      2                173029           21SEP2008 0000     4730.77 
 Mississippi      2                173029           22SEP2008 0000     4514.77 
 Mississippi      2                173029           23SEP2008 0000     4304.53 
 Mississippi      2                173029           24SEP2008 0000     4142.21 
 Mississippi      2                173029           25SEP2008 0000     3957.45 
 Mississippi      2                173029           26SEP2008 0000     3672.60 
 Mississippi      2                173029           27SEP2008 0000     3473.41 
 Mississippi      2                173029           28SEP2008 0000     3449.81 
 Mississippi      2                173029           29SEP2008 0000     3470.01 
 Mississippi      2                173029           30SEP2008 0000     3364.58 
 Mississippi      2                173029           01OCT2008 0000     3259.22 
 Mississippi      2                173029           02OCT2008 0000     3092.59 
 Mississippi      2                173029           03OCT2008 0000     3001.95 
 Mississippi      2                173029           04OCT2008 0000     2894.75 
 Mississippi      2                173029           05OCT2008 0000     2773.99 
 Mississippi      2                173029           06OCT2008 0000     2528.03 
 Mississippi      2                173029           07OCT2008 0000     2395.37 
 Mississippi      2                173029           08OCT2008 0000     2422.65 
 Mississippi      2                173029           09OCT2008 0000     2689.92 
 Mississippi      2                173029           10OCT2008 0000     2952.72 
 Mississippi      2                173029           11OCT2008 0000     2939.57 
 Mississippi      2                173029           12OCT2008 0000     2892.91 
 Mississippi      2                173029           13OCT2008 0000     2861.52 
 Mississippi      2                173029           14OCT2008 0000     2745.72 
 Mississippi      2                173029           15OCT2008 0000     2654.59 
 Mississippi      2                173029           16OCT2008 0000     2856.94 
 Mississippi      2                173029           17OCT2008 0000     2907.35 
 Mississippi      2                173029           18OCT2008 0000     2758.96 
 Mississippi      2                173029           19OCT2008 0000     2659.48 
 Mississippi      2                173029           20OCT2008 0000     2550.00 
 Mississippi      2                173029           21OCT2008 0000     2430.73 
 Mississippi      2                173029           22OCT2008 0000     2259.88 
 Mississippi      2                173029           23OCT2008 0000     2323.77 
 Mississippi      2                173029           24OCT2008 0000     2297.57 
 Mississippi      2                173029           25OCT2008 0000     1959.18 
 Mississippi      2                173029           26OCT2008 0000     1812.16 
 Mississippi      2                173029           27OCT2008 0000     2299.24 
 Mississippi      2                173029           28OCT2008 0000     2666.70 
 Mississippi      2                173029           29OCT2008 0000     2694.59 
 Mississippi      2                173029           30OCT2008 0000     2606.61 
 Mississippi      2                173029           31OCT2008 0000     2446.87 
 Mississippi      2                173029           01NOV2008 0000     2262.74 
 Mississippi      2                173029           02NOV2008 0000     2112.93 
 Mississippi      2                173029           03NOV2008 0000     2119.13 
