Date,stage-m
2008-01-01,127.82078634562633
2008-01-02,127.69582444376714
2008-01-03,127.86345626333434
2008-01-04,127.83297775068577
2008-01-05,127.72935080768058
2008-01-06,127.89088692471807
2008-01-07,127.77506857665345
2008-01-08,127.88479122218834
2008-01-09,127.92746113989638
2008-01-10,127.55562328558365
2008-01-11,127.72630295641572
2008-01-12,127.81469064309661
2008-01-13,127.69277659250227
2008-01-14,127.68058518744286
2008-01-15,127.75678146906431
2008-01-16,127.74154221274001
2008-01-17,127.89088692471807
2008-01-18,127.78421213044803
2008-01-19,127.75068576653459
2008-01-20,127.75373361779944
2008-01-21,127.84212130448033
2008-01-22,127.80554708930204
2008-01-23,127.86345626333434
2008-01-24,127.80249923803717
2008-01-25,127.90003047851263
2008-01-26,127.94574824748551
2008-01-27,127.97927461139895
2008-01-28,127.83907345321548
2008-01-29,127.81469064309661
2008-01-30,127.79030783297773
2008-01-31,127.78725998171288
2008-02-01,127.77506857665345
2008-02-02,127.91222188357207
2008-02-03,127.86955196586405
2008-02-04,127.84516915574518
2008-02-05,127.88783907345322
2008-02-06,127.9823224626638
2008-02-07,127.8665041145992
2008-02-08,127.75068576653459
2008-02-09,127.77506857665345
2008-02-10,127.79640353550747
2008-02-11,127.76897287412373
2008-02-12,127.76287717159401
2008-02-13,127.85126485827492
2008-02-14,128.02499238037183
2008-02-15,127.91526973483694
2008-02-16,127.88783907345322
2008-02-17,127.89698262724778
2008-02-18,128.10423651325814
2008-02-19,127.9975617189881
2008-02-20,127.61962816214567
2008-02-21,127.63486741846997
2008-02-22,128.06766229807985
2008-02-23,127.9244132886315
2008-02-24,127.86040841206949
2008-02-25,127.83907345321548
2008-02-26,127.85736056080462
2008-02-27,127.76592502285888
2008-02-28,127.77202072538859
2008-02-29,127.71715940262115
2008-03-01,127.68668088997256
2008-03-02,127.70801584882656
2008-03-03,127.82992989942089
2008-03-04,127.82992989942089
2008-03-05,128.085949405669
2008-03-06,128.35111246571168
2008-03-07,128.29625114294421
2008-03-08,128.15604998476076
2008-03-09,127.93355684242609
2008-03-10,127.71715940262115
2008-03-11,127.52819262419993
2008-03-12,127.70496799756171
2008-03-13,127.75373361779944
2008-03-14,127.79335568424261
2008-03-15,127.75068576653459
2008-03-16,127.75373361779944
2008-03-17,127.80554708930204
2008-03-18,127.9762267601341
2008-03-19,128.6040841206949
2008-03-20,129.10697957939652
2008-03-21,129.13441024078026
2008-03-22,128.9698262724779
2008-03-23,128.90582139591586
2008-03-24,128.83267296555928
2008-03-25,128.62237122828404
2008-03-26,128.39683023468453
2008-03-27,128.23834196891193
2008-03-28,128.2017677537336
2008-03-29,128.05242304175556
2008-03-30,127.86040841206949
2008-03-31,127.77506857665345
2008-04-01,128.0128009753124
2008-04-02,128.06766229807985
2008-04-03,127.84821700701005
2008-04-04,127.85126485827492
2008-04-05,127.8665041145992
2008-04-06,127.84516915574518
2008-04-07,127.91222188357207
2008-04-08,127.99451386772324
2008-04-09,128.04632733922585
2008-04-10,128.20481560499846
2008-04-11,128.82657726302955
2008-04-12,129.36299908564462
2008-04-13,129.5763486741847
2008-04-14,129.59768363303868
2008-04-15,129.5336787564767
2008-04-16,129.42090825967693
2008-04-17,129.32947272173118
2008-04-18,129.25022858884486
2008-04-19,129.26546784516916
2008-04-20,129.268515696434
2008-04-21,129.35995123437976
2008-04-22,129.53063090521184
2008-04-23,129.68302346845473
2008-04-24,129.72264553489788
2008-04-25,129.74093264248705
2008-04-26,129.82627247790307
2008-04-27,129.9116123133191
2008-04-28,129.96037793355683
2008-04-29,129.97256933861627
2008-04-30,129.96342578482168
2008-05-01,129.93294727217312
2008-05-02,129.89332520572995
2008-05-03,129.9116123133191
2008-05-04,129.96647363608656
2008-05-05,130.03352636391344
2008-05-06,130.1158183480646
2008-05-07,130.1249619018592
2008-05-08,130.1097226455349
2008-05-09,130.1249619018592
2008-05-10,130.07010057909173
2008-05-11,129.97256933861627
2008-05-12,129.99390429747027
2008-05-13,129.96342578482168
2008-05-14,129.96647363608656
2008-05-15,129.96037793355683
2008-05-16,129.9268515696434
2008-05-17,129.84151173422737
2008-05-18,129.7439804937519
2008-05-19,129.655592807071
2008-05-20,129.54891801280098
2008-05-21,129.39347759829317
2008-05-22,129.23498933252057
2008-05-23,129.0582139591588
2008-05-24,128.82962511429443
2008-05-25,128.59189271563545
2008-05-26,128.79914660164582
2008-05-27,128.93020420603474
2008-05-28,128.88753428832672
2008-05-29,128.4791222188357
2008-05-30,128.21395915879305
2008-05-31,128.25053337397134
2008-06-01,128.35111246571168
2008-06-02,128.2231027125876
2008-06-03,128.14081072843643
2008-06-04,128.5979884181652
2008-06-05,129.0582139591588
2008-06-06,129.28680280402315
2008-06-07,129.52758305394696
2008-06-08,129.61292288936298
2008-06-09,129.60073148430354
2008-06-10,129.65254495580615
2008-06-11,129.74702834501676
2008-06-12,129.91770801584883
2008-06-13,130.03047851264859
2008-06-14,130.22858884486436
2008-06-15,130.46327339225846
2008-06-16,130.838159097836
2008-06-17,131.18561414202986
2008-06-18,131.4660164583968
2008-06-19,131.62145687290462
2008-06-20,131.7098445595855
2008-06-21,131.78604084120693
2008-06-22,131.77994513867722
2008-06-23,131.86528497409324
2008-06-24,132.01462968607132
2008-06-25,132.12130448034137
2008-06-26,132.15787869551966
2008-06-27,132.22188357208168
2008-06-28,132.2919841511734
2008-06-29,132.301127704968
2008-06-30,132.24626638220053
2008-07-01,132.12740018287107
2008-07-02,131.9506248095093
2008-07-03,131.8104236513258
2008-07-04,131.64279183175861
2008-07-05,131.4172508381591
2008-07-06,131.11551356293813
2008-07-07,130.74062785736055
2008-07-08,130.31697653154527
2008-07-09,129.95733008229197
2008-07-10,129.76226760134105
2008-07-11,129.5458701615361
2008-07-12,129.33861627552577
2008-07-13,129.1801280097531
2008-07-14,128.99725693386162
2008-07-15,128.81133800670526
2008-07-16,128.6406583358732
2008-07-17,128.51264858274914
2008-07-18,128.39683023468453
2008-07-19,128.30844254800365
2008-07-20,128.23529411764704
2008-07-21,128.13166717464188
2008-07-22,128.08899725693385
2008-07-23,128.1011886619933
2008-07-24,128.14081072843643
2008-07-25,128.1865284974093
2008-07-26,128.32063395306307
2008-07-27,128.50960073148428
2008-07-28,128.6498018896678
2008-07-29,128.74123742761353
2008-07-30,128.77781164279182
2008-07-31,128.89362999085643
2008-08-01,129.09174032307223
2008-08-02,129.09478817433708
2008-08-03,128.881438585797
2008-08-04,128.46083511124658
2008-08-05,127.93965254495579
2008-08-06,127.74154221274001
2008-08-07,127.68972874123742
2008-08-08,127.71411155135628
2008-08-09,127.75982932032916
2008-08-10,127.79030783297773
2008-08-11,127.77506857665345
2008-08-12,127.71106370009143
2008-08-13,127.58000609570252
2008-08-14,127.57391039317281
2008-08-15,127.81164279183176
2008-08-16,127.77506857665345
2008-08-17,127.79945138677232
2008-08-18,127.68668088997256
2008-08-19,127.71715940262115
2008-08-20,127.71106370009143
2008-08-21,127.68058518744286
2008-08-22,127.72630295641572
2008-08-23,127.68363303870771
2008-08-24,127.62267601341054
2008-08-25,127.64401097226455
2008-08-26,127.65925022858883
2008-08-27,127.65925022858883
2008-08-28,127.61962816214567
2008-08-29,127.69582444376714
2008-08-30,127.63791526973482
2008-08-31,127.68058518744286
2008-09-01,127.72630295641572
2008-09-02,127.67753733617798
2008-09-03,127.68668088997256
2008-09-04,127.70192014629686
2008-09-05,127.87259981712893
2008-09-06,127.77506857665345
2008-09-07,127.68668088997256
2008-09-08,127.65620237732398
2008-09-09,127.70801584882656
2008-09-10,127.70192014629686
2008-09-11,127.71411155135628
2008-09-12,127.65010667479426
2008-09-13,127.75373361779944
2008-09-14,127.99146601645839
2008-09-15,129.30813776287715
2008-09-16,130.1402011581835
2008-09-17,130.61871380676624
2008-09-18,130.7162450472417
2008-09-19,130.6217616580311
2008-09-20,130.19506248095092
2008-09-21,129.26546784516916
2008-09-22,128.28101188661992
2008-09-23,127.76897287412373
2008-09-24,127.69582444376714
2008-09-25,127.698872295032
2008-09-26,127.68058518744286
2008-09-27,127.698872295032
2008-09-28,127.80859494056689
2008-09-29,127.79945138677232
2008-09-30,127.76592502285888
2008-10-01,127.70496799756171
2008-10-02,127.78116427918317
2008-10-03,127.77811642791832
2008-10-04,127.83907345321548
2008-10-05,127.80859494056689
2008-10-06,127.76287717159401
2008-10-07,127.82992989942089
2008-10-08,127.77506857665345
2008-10-09,127.76897287412373
2008-10-10,127.75373361779944
2008-10-11,127.81164279183176
2008-10-12,127.74763791526972
2008-10-13,127.87869551965863
2008-10-14,127.78116427918317
2008-10-15,127.72325510515087
2008-10-16,127.75068576653459
2008-10-17,127.74763791526972
2008-10-18,127.74154221274001
2008-10-19,127.73239865894543
2008-10-20,127.79640353550747
2008-10-21,127.79640353550747
2008-10-22,127.79945138677232
2008-10-23,127.80859494056689
2008-10-24,127.79335568424261
2008-10-25,127.75373361779944
2008-10-26,127.77811642791832
2008-10-27,127.81164279183176
2008-10-28,127.81773849436146
2008-10-29,127.82383419689118
2008-10-30,127.81469064309661
2008-10-31,127.82688204815604
2008-11-01,127.77202072538859
2008-11-02,127.76897287412373
2008-11-03,127.75982932032916
2008-11-04,127.75982932032916
2008-11-05,127.69582444376714
2008-11-06,127.70801584882656
2008-11-07,127.66534593111855
2008-11-08,127.75982932032916
2008-11-09,127.72325510515087
2008-11-10,127.75068576653459
2008-11-11,127.74763791526972
2008-11-12,127.74459006400487
2008-11-13,127.71715940262115
2008-11-14,127.73544651021028
2008-11-15,127.68668088997256
2008-11-16,127.71106370009143
2008-11-17,127.75373361779944
2008-11-18,127.75678146906431
2008-11-19,127.73849436147516
2008-11-20,127.72630295641572
2008-11-21,127.71715940262115
2008-11-22,127.72935080768058
2008-11-23,127.75373361779944
2008-11-24,127.67753733617798
2008-11-25,127.68972874123742
2008-11-26,127.65925022858883
2008-11-27,127.72630295641572
2008-11-28,127.67753733617798
2008-11-29,127.63791526973482
2008-11-30,127.76287717159401
2008-12-01,127.6470588235294
2008-12-02,127.66839378238342
2008-12-03,127.68363303870771
2008-12-04,127.73544651021028
2008-12-05,127.80249923803717
2008-12-06,127.79030783297773
2008-12-07,127.81164279183176
2008-12-08,127.75678146906431
2008-12-09,127.75373361779944
2008-12-10,127.81773849436146
2008-12-11,127.77506857665345
2008-12-12,127.83602560195062
2008-12-13,127.76287717159401
2008-12-14,127.82383419689118
2008-12-15,127.83602560195062
2008-12-16,127.77506857665345
2008-12-17,127.81164279183176
2008-12-18,127.83297775068577
2008-12-19,127.92746113989638
2008-12-20,127.77811642791832
2008-12-21,127.67753733617798
2008-12-22,127.85431270953977
2008-12-23,127.97927461139895
2008-12-24,128.24443767144163
2008-12-25,128.107284364523
2008-12-26,128.05851874428527
2008-12-27,128.13166717464188
2008-12-28,128.22919841511734
2008-12-29,128.1956720512039
2008-12-30,128.2078634562633
2008-12-31,128.18348064614446
