cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,False,86,882686,882688,38.95456,-90.3812,121.80551,0.11195598,0.04,0.08,203.00919,609.0275,4950,127.61,1e-05,
False,False,90,880544,24745881,38.931854,-90.325745,121.81803,0.1119509,0.04,0.08,203.03004,609.09015,5742,127.43,1e-05,
False,False,95,880562,880580,38.921173,-90.26357,121.819046,0.11195049,0.04,0.08,203.03175,609.0952,6293,127.43,0.00012,
False,False,97,880606,880608,38.89358,-90.20346,121.85418,0.11193625,0.04,0.08,203.0903,609.2709,6216,127.05,4e-05,
False,False,102,880648,880652,38.861874,-90.13856,121.85678,0.11193519,0.04,0.08,203.09464,609.2839,5852,123.03,1e-05,
False,False,106,880678,3624763,38.826557,-90.112404,121.89121,0.11192124,0.04,0.08,203.15202,609.45605,6113,123.0,3e-05,
