link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2929057,2929059,39.423588,-90.70702,1.465293,0.7870321,0.06,0.12,2.4421551,7.326465,1623.0,,54
2929073,2929059,39.415627,-90.70568,2.0851033,0.6736012,0.06,0.12,3.4751723,10.425517,1620.0,,54
2929107,2929081,39.402042,-90.745125,1.3327998,0.82063705,0.06,0.12,2.221333,6.6639986,1105.0,,54
2929125,2929081,39.39772,-90.73938,1.6234691,0.7522315,0.06,0.12,2.7057817,8.117346,1705.0,,54
2929133,2929079,39.39912,-90.71621,2.147536,0.6648905,0.06,0.12,3.5792267,10.73768,2477.0,,54
2929149,2929079,39.395313,-90.73008,2.1107278,0.6699812,0.06,0.12,3.5178795,10.553638,2951.0,,54
2930367,2930371,39.490334,-90.75655,2.047234,0.67907023,0.06,0.12,3.4120567,10.236171,2709.0,,54
2931727,2930775,39.40968,-91.00358,1.5316533,0.7718022,0.06,0.12,2.5527556,7.6582665,1422.0,,54
2931845,2931843,39.37643,-91.00817,1.5767261,0.7619896,0.06,0.12,2.627877,7.8836308,1710.0,,54
2929131,2929087,39.39899,-90.99179,2.1368375,0.6663571,0.06,0.12,3.561396,10.684188,1847.0,,54
2931617,2932143,39.497425,-91.04514,1.6120288,0.754582,0.06,0.12,2.686715,8.060144,591.0,,54
2931665,2931657,39.435833,-91.050766,1.5345207,0.7711656,0.06,0.12,2.5575345,7.6726036,1090.0,,54
2931685,2931679,39.41872,-91.02438,2.0338306,0.68104094,0.06,0.12,3.3897178,10.169153,77.0,,54
2931857,2931843,39.368362,-91.005844,2.4687927,0.62522954,0.06,0.12,4.1146545,12.343963,527.0,,54
2932007,2938497,39.318874,-91.001076,2.359192,0.6378816,0.06,0.12,3.9319863,11.795959,291.0,,54
2932141,2932143,39.495987,-91.04937,1.4684172,0.786293,0.06,0.12,2.447362,7.3420854,976.0,,54
2928959,2930489,39.458237,-90.9458,3.8327549,0.5149477,0.06,0.12,6.3879247,19.163774,471.0,,54
2931879,2932229,39.36359,-91.00138,2.261457,0.6499002,0.06,0.12,3.7690947,11.307284,257.0,,54
2928819,2928845,39.49605,-90.78493,3.9648933,0.5073046,0.06,0.12,6.6081557,19.824467,919.0,,54
2931985,2929337,39.32396,-91.003494,3.983525,0.5062564,0.055,0.11,6.6392083,30.0,667.0,,54
937110061,2924285,39.50906,-90.98954,3.8624804,0.5131955,0.06,0.12,6.4374676,19.312403,346.0,,54
2928863,2928855,39.482548,-90.806885,4.2679014,0.4910873,0.06,0.12,7.113169,21.339508,319.0,,54
2924221,2924225,39.518276,-90.876724,5.6160293,0.43507475,0.055,0.11,9.360048,30.0,1406.0,,54
2928817,2928845,39.495773,-90.78151,6.5269637,0.40715808,0.055,0.11,10.878272,32.63482,511.0,,54
2931699,2931679,39.415237,-91.02226,7.3156414,0.3871744,0.055,0.11,12.192736,50.0,1080.0,,54
2931661,2931657,39.438343,-91.05604,6.8472958,0.39864203,0.055,0.11,11.412159,34.236477,1209.0,,54
2928877,2930371,39.48124,-90.76423,9.302319,0.34823692,0.055,0.11,15.503863,50.0,1306.0,,54
2931619,2931621,39.497875,-91.01794,2.6061528,0.61047107,0.06,0.12,4.343588,13.030764,964.0,,54
2924371,2924287,39.506393,-90.99159,15.524456,0.27780885,0.05,0.1,25.874092,77.62228,597.0,,54
2932209,2932171,39.475998,-91.06209,112.84486,0.115794465,0.045,0.09,188.07475,564.2243,603.0,,54
2938517,2932171,39.473404,-91.06372,1.0790881,0.900763,0.06,0.12,1.7984803,5.3954406,317.0,,54
4869809,4872015,39.469547,-91.06649,30.423098,0.20646194,0.05,0.1,50.705162,152.1155,759.0,,54
2924195,2924221,39.522907,-90.896065,1.9394791,0.69546384,0.06,0.12,3.2324653,9.697395,3094.0,,55
2927115,2931617,39.505665,-91.046234,1.5028137,0.77830184,0.06,0.12,2.5046895,7.5140686,1205.0,,55
2927117,2932141,39.502987,-91.05198,0.93265927,0.9606207,0.06,0.12,1.5544322,4.663296,741.0,,55
2928907,2928863,39.46906,-90.81946,2.5289292,0.6186261,0.06,0.12,4.214882,12.644647,3852.0,,55
2930369,2928877,39.489986,-90.74784,2.3259153,0.64189184,0.06,0.12,3.8765254,11.629576,3694.0,,55
2931681,2931661,39.427433,-91.06262,1.7138009,0.73447436,0.06,0.12,2.856335,8.569004,1930.0,,55
2931687,2931685,39.422245,-91.03184,1.6494528,0.74698037,0.06,0.12,2.749088,8.247264,1903.0,,55
2931695,2931685,39.41467,-91.03429,1.5606637,0.7654396,0.06,0.12,2.6011062,7.803318,2574.0,,55
2931733,2931699,39.40759,-91.01719,1.5924771,0.7586553,0.06,0.12,2.6541286,7.9623857,1348.0,,55
2931787,2929131,39.394302,-91.007744,1.6448201,0.7479079,0.06,0.12,2.7413669,8.2241,1554.0,,55
2931859,2931857,39.37114,-91.015175,1.3103968,0.82679737,0.06,0.12,2.1839945,6.551984,1670.0,,55
2931885,2931879,39.362076,-91.00106,0.73598915,1.0664184,0.06,0.12,1.2266486,3.679946,215.0,,55
2931923,2931857,39.360596,-91.01768,2.2883043,0.6465252,0.06,0.12,3.8138404,11.441522,2431.0,,55
2932027,2932007,39.312134,-91.004234,1.6914115,0.7387479,0.06,0.12,2.819019,8.457058,1740.0,,55
2932037,2932007,39.308563,-91.01413,1.9781712,0.6894294,0.06,0.12,3.296952,9.890857,3344.0,,55
2932189,2931665,39.430546,-91.04955,1.1604619,0.87233,0.06,0.12,1.9341033,5.8023095,203.0,,55
937110060,937110061,39.510574,-90.99456,1.2667823,0.8392373,0.06,0.12,2.1113038,6.3339114,569.0,,55
2931981,2931985,39.32515,-91.00743,2.682495,0.60274434,0.06,0.12,4.470825,13.412476,131.0,,55
2928805,2928817,39.498688,-90.77772,1.402815,0.8023084,0.06,0.12,2.3380249,7.014075,921.0,,55
2928951,2928959,39.464203,-90.949875,1.9161103,0.6991932,0.06,0.12,3.193517,9.580551,1438.0,,55
