cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,FALSE,42,3601088,3601090,39.307407,-90.61023,65.3942,0.14730628,0.045,0.09,108.99034,326.971,1365,129.23,1.00E-05,
FALSE,FALSE,43,3601090,3601094,39.299416,-90.605965,65.416534,0.14728409,0.045,0.09,109.02755,327.08267,597,129.23,1.00E-05,
FALSE,FALSE,44,3601094,3601098,39.28878,-90.60268,65.41902,0.14728162,0.045,0.09,109.0317,327.0951,1906,129.23,0.00057,
FALSE,FALSE,45,3601098,3601102,39.270367,-90.60722,65.423904,0.14727677,0.045,0.09,109.03984,327.11954,2387,128.15,1.00E-05,
FALSE,FALSE,46,3601102,3607092,39.25509,-90.60783,65.425316,0.14727537,0.045,0.09,109.0422,327.1266,1208,128.15,1.00E-05,
FALSE,FALSE,47,3607092,3601106,39.249386,-90.60513,65.42809,0.14727262,0.045,0.09,109.04682,327.14047,160,128.15,1.00E-05,
FALSE,FALSE,48,3601106,3601284,39.23166,-90.59626,65.42897,0.14727174,0.045,0.09,109.04829,327.14487,4399,128.15,1.00E-05,
FALSE,FALSE,49,3601284,3601254,39.211136,-90.59348,65.433975,0.14726678,0.045,0.09,109.05662,327.16986,270,128.15,1.00E-05,
FALSE,FALSE,50,3601254,3601112,39.19442,-90.592865,65.43442,0.14726633,0.045,0.09,109.05736,327.1721,3515,128.15,1.00E-05,
FALSE,FALSE,51,3601112,3601206,39.178223,-90.60263,66.21185,0.14650096,0.045,0.09,110.35309,331.05927,666,128.14,9.00E-05,
FALSE,FALSE,52,3601206,3601224,39.17483,-90.60774,66.21928,0.1464937,0.045,0.09,110.36546,331.09637,532,128.08,1.00E-05,
FALSE,FALSE,53,3601224,3601218,39.165314,-90.61269,66.221436,0.1464916,0.045,0.09,110.36906,331.10718,1790,128.08,1.00E-05,
FALSE,FALSE,54,3601218,3601220,39.14743,-90.615425,66.22326,0.14648981,0.045,0.09,110.3721,331.1163,2220,128.08,1.00E-05,
FALSE,FALSE,55,3601220,3601222,39.136166,-90.612885,66.22451,0.14648859,0.045,0.09,110.37418,331.12256,391,128.08,1.00E-05,
FALSE,FALSE,56,3601222,3601238,39.13313,-90.61208,66.22529,0.14648785,0.045,0.09,110.37548,331.12643,301,128.08,1.00E-05,
FALSE,FALSE,57,3601238,3601226,39.12644,-90.6074,66.22548,0.14648765,0.045,0.09,110.37579,331.12738,1441,128.08,1.00E-05,
FALSE,FALSE,58,3601226,3601260,39.1145,-90.6033,66.24533,0.14646828,0.045,0.09,110.40888,331.22665,1340,128.08,1.00E-05,
FALSE,FALSE,59,3601260,3601198,39.100704,-90.59852,66.24889,0.14646481,0.045,0.09,110.414825,331.24448,1930,128.08,1.00E-05,
FALSE,FALSE,60,3601198,3601118,39.082108,-90.59104,66.25031,0.14646342,0.045,0.09,110.41718,331.25156,2419,128.08,1.00E-05,
FALSE,FALSE,61,3601118,3601296,39.06983,-90.58459,66.250435,0.1464633,0.045,0.09,110.41739,331.25217,619,128.08,1.00E-05,
FALSE,FALSE,62,3601296,3601120,39.062317,-90.58154,66.32058,0.14639495,0.045,0.09,110.534294,331.60287,1187,128.08,1.00E-05,
FALSE,FALSE,63,3601120,3601246,39.05714,-90.58663,66.3206,0.14639492,0.045,0.09,110.53434,331.60303,348,128.08,1.00E-05,
FALSE,FALSE,64,3601246,3601252,39.051514,-90.59012,66.32459,0.14639103,0.045,0.09,110.54099,331.62296,1097,128.08,1.00E-05,
FALSE,FALSE,65,3601252,3601152,39.04191,-90.5828,66.32627,0.1463894,0.045,0.09,110.54379,331.63138,1535,128.08,1.00E-05,
FALSE,FALSE,66,3601152,3602012,39.018436,-90.57535,66.329575,0.14638619,0.045,0.09,110.54929,331.6479,4190,128.08,1.00E-05,
FALSE,FALSE,67,3602012,3601942,38.99165,-90.569405,66.329865,0.14638591,0.045,0.09,110.549774,331.64932,1970,128.08,1.00E-05,
FALSE,FALSE,68,3601942,3601994,38.978493,-90.55555,66.3301,0.14638567,0.045,0.09,110.55017,331.6505,1942,128.08,1.00E-05,
FALSE,FALSE,69,3601994,3601976,38.969925,-90.5475,66.34377,0.14637236,0.045,0.09,110.57295,331.71884,403,128.08,1.00E-05,
FALSE,FALSE,70,3601976,3601974,38.957752,-90.53346,66.35729,0.1463592,0.045,0.09,110.59549,331.78647,3123,128.08,1.00E-05,
FALSE,FALSE,71,3601974,3602000,38.95944,-90.50578,66.37862,0.14633846,0.045,0.09,110.63102,331.89307,2349,128.08,1.00E-05,
FALSE,FALSE,72,3602000,3607074,38.96747,-90.48828,66.381325,0.14633583,0.045,0.09,110.635544,331.90665,1169,128.08,1.00E-05,
FALSE,FALSE,73,3607074,3607100,38.968613,-90.47736,66.383514,0.1463337,0.045,0.09,110.63919,331.91757,743,128.08,1.00E-05,
FALSE,FALSE,74,3607100,3601938,38.969105,-90.46987,66.38603,0.14633125,0.045,0.09,110.64339,331.93018,549,128.08,1.00E-05,
FALSE,FALSE,75,3601938,880460,38.969368,-90.46386,66.38607,0.1463312,0.045,0.09,110.643456,331.93036,488,128.08,1.00E-05,
FALSE,FALSE,76,880460,880810,38.969185,-90.45893,66.38708,0.14633024,0.045,0.09,110.64513,331.9354,360,128.08,0.00092,
FALSE,FALSE,77,880810,880464,38.968582,-90.45591,66.38803,0.1463293,0.045,0.09,110.64672,331.9402,188,127.75,1.00E-05,
FALSE,FALSE,78,880464,880468,38.967842,-90.451416,66.388336,0.14632902,0.045,0.09,110.647224,331.94168,616,127.75,0.00023,
FALSE,FALSE,79,880468,880472,38.967087,-90.442024,66.38994,0.14632745,0.045,0.09,110.6499,331.9497,1006,127.61,1.00E-05,
FALSE,FALSE,80,880472,880480,38.966248,-90.43378,66.391,0.14632642,0.045,0.09,110.651665,331.955,424,127.61,1.00E-05,
FALSE,FALSE,81,880480,880478,38.965073,-90.429825,66.39148,0.14632596,0.045,0.09,110.652466,331.9574,324,127.61,1.00E-05,
