cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL
FALSE,FALSE,160,3629267,3630817,38.00493,-90.05102,193.83456,0.091208145,0.04,0.08,323.0576,969.1728,2031,111.51,1.00E-05,,113073
FALSE,FALSE,161,3630817,3630823,37.999508,-90.040146,193.83456,0.091208145,0.04,0.08,323.05762,969.17285,216,111.51,1.00E-05,,115104
FALSE,FALSE,162,3630823,3630825,37.993843,-90.030716,193.83641,0.091207765,0.04,0.08,323.06067,969.182,1968,111.51,0.00035,,115320
FALSE,FALSE,163,3630825,3630829,37.98316,-90.01941,193.8366,0.09120772,0.04,0.08,323.061,969.183,1118,110.83,1.00E-05,,117288
FALSE,FALSE,164,3630829,3629943,37.970955,-90.00876,193.83841,0.09120735,0.04,0.08,323.06403,969.1921,2160,110.83,0.00025,,118406
FALSE,FALSE,165,3629943,5090052,37.96369,-89.97357,193.83893,0.091207236,0.04,0.08,323.06488,969.19464,4768,110.29,0.00013,,120566
FALSE,FALSE,166,5090052,5089872,37.970146,-89.94341,193.83989,0.091207035,0.04,0.08,323.0665,969.19946,726,109.65,1.00E-05,,125334
FALSE,FALSE,167,5089872,5089868,37.97193,-89.936844,193.8399,0.091207035,0.04,0.08,323.0665,969.1995,489,109.65,2.00E-05,,126060
FALSE,FALSE,168,5089868,5089870,37.972416,-89.93309,194.40741,0.09108948,0.04,0.08,324.01236,972.03705,180,109.64,0.00044,,126549
FALSE,FALSE,169,5089870,5089880,37.972256,-89.92825,194.40742,0.09108947,0.04,0.08,324.0124,972.0371,668,109.56,4.00E-05,,126729
FALSE,FALSE,170,5089880,5089888,37.967175,-89.91936,194.40762,0.091089435,0.04,0.08,324.0127,972.03815,1316,109.53,8.00E-05,,127397
FALSE,FALSE,171,5089888,5089890,37.959576,-89.91053,194.40767,0.09108943,0.04,0.08,324.0128,972.0383,1008,109.42,0.00018,,128713
FALSE,FALSE,172,5089890,5089904,37.923622,-89.88132,194.40858,0.091089234,0.04,0.08,324.0143,972.04297,8142,109.24,5.00E-05,Chester,129721
,,,,,,,,,,,,,,,,,137863
