Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	28Aug2025 2400	6.07	40.00
1	29Aug2025 0010	6.08	40.02
2	29Aug2025 0020	6.08	40.03
3	29Aug2025 0030	6.08	40.04
4	29Aug2025 0040	6.08	40.05
5	29Aug2025 0050	6.08	40.05
6	29Aug2025 0100	6.08	40.06
7	29Aug2025 0110	6.08	40.07
8	29Aug2025 0120	6.08	40.07
9	29Aug2025 0130	6.08	40.08
10	29Aug2025 0140	6.08	40.09
11	29Aug2025 0150	6.08	40.09
12	29Aug2025 0200	6.08	40.09
13	29Aug2025 0210	6.08	40.10
14	29Aug2025 0220	6.08	40.10
15	29Aug2025 0230	6.08	40.10
16	29Aug2025 0240	6.08	40.11
17	29Aug2025 0250	6.08	40.11
18	29Aug2025 0300	6.08	40.11
19	29Aug2025 0310	6.08	40.11
20	29Aug2025 0320	6.09	40.11
21	29Aug2025 0330	6.09	40.11
22	29Aug2025 0340	6.09	40.12
23	29Aug2025 0350	6.09	40.13
24	29Aug2025 0400	6.09	40.14
25	29Aug2025 0410	6.09	40.15
26	29Aug2025 0420	6.09	40.17
27	29Aug2025 0430	6.09	40.19
28	29Aug2025 0440	6.10	40.22
29	29Aug2025 0450	6.10	40.24
30	29Aug2025 0500	6.10	40.26
31	29Aug2025 0510	6.10	40.28
32	29Aug2025 0520	6.10	40.30
33	29Aug2025 0530	6.11	40.32
34	29Aug2025 0540	6.11	40.33
35	29Aug2025 0550	6.11	40.34
36	29Aug2025 0600	6.11	40.35
37	29Aug2025 0610	6.11	40.36
38	29Aug2025 0620	6.11	40.37
39	29Aug2025 0630	6.11	40.38
40	29Aug2025 0640	6.11	40.38
41	29Aug2025 0650	6.11	40.38
42	29Aug2025 0700	6.11	40.39
43	29Aug2025 0710	6.11	40.39
44	29Aug2025 0720	6.11	40.39
45	29Aug2025 0730	6.11	40.39
46	29Aug2025 0740	6.11	40.39
47	29Aug2025 0750	6.11	40.39
48	29Aug2025 0800	6.11	40.39
49	29Aug2025 0810	6.11	40.39
50	29Aug2025 0820	6.11	40.39
51	29Aug2025 0830	6.11	40.38
52	29Aug2025 0840	6.11	40.38
53	29Aug2025 0850	6.11	40.38
54	29Aug2025 0900	6.11	40.38
55	29Aug2025 0910	6.11	40.37
56	29Aug2025 0920	6.11	40.37
57	29Aug2025 0930	6.11	40.37
58	29Aug2025 0940	6.11	40.36
59	29Aug2025 0950	6.11	40.36
60	29Aug2025 1000	6.11	40.36
61	29Aug2025 1010	6.11	40.35
62	29Aug2025 1020	6.11	40.35
63	29Aug2025 1030	6.11	40.34
64	29Aug2025 1040	6.11	40.34
65	29Aug2025 1050	6.11	40.34
66	29Aug2025 1100	6.11	40.33
67	29Aug2025 1110	6.11	40.33
68	29Aug2025 1120	6.11	40.33
69	29Aug2025 1130	6.11	40.32
70	29Aug2025 1140	6.11	40.32
71	29Aug2025 1150	6.10	40.31
72	29Aug2025 1200	6.10	40.31
73	29Aug2025 1210	6.10	40.31
74	29Aug2025 1220	6.10	40.30
75	29Aug2025 1230	6.10	40.30
76	29Aug2025 1240	6.10	40.29
77	29Aug2025 1250	6.10	40.29
78	29Aug2025 1300	6.10	40.29
79	29Aug2025 1310	6.10	40.28
80	29Aug2025 1320	6.10	40.28
81	29Aug2025 1330	6.10	40.28
82	29Aug2025 1340	6.10	40.27
