cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt - m,So,gages
FALSE,FALSE,41,19086949,19088289,30.2587,-91.11234,230.0223,0.08457405,0.04,0.08,383.37048,1150.1115,14098,3.58,1.00E-05,
FALSE,FALSE,42,19088289,19086953,30.213427,-91.15611,230.0223,0.08457405,0.04,0.08,383.3705,1150.1115,8,3.58,1.00E-05,
FALSE,FALSE,43,19086953,25732008,30.19891,-91.1654,230.0224,0.08457404,0.04,0.08,383.37067,1150.1119,3807,3.58,1.00E-05,
FALSE,FALSE,44,25732008,19086167,30.212181,-91.07141,230.02315,0.08457392,0.04,0.08,383.3719,1150.1157,19709,3.58,1.00E-05,
FALSE,FALSE,45,19086167,25732010,30.151276,-90.99944,230.0232,0.0845739,0.04,0.08,383.37198,1150.116,1458,3.58,1.00E-05,
FALSE,FALSE,46,25732010,25732012,30.134315,-91.013214,230.02332,0.08457389,0.04,0.08,383.3722,1150.1166,3433,3.58,1.00E-05,
FALSE,FALSE,47,25732012,25732014,30.123922,-91.03007,230.02336,0.08457388,0.04,0.08,383.37228,1150.1168,672,3.58,1.00E-05,
FALSE,FALSE,48,25732014,19086169,30.1143,-91.017296,230.0235,0.08457386,0.04,0.08,383.3725,1150.1176,3385,3.58,1.00E-05,
FALSE,FALSE,49,19086169,19086175,30.114103,-90.999084,230.02351,0.08457386,0.04,0.08,383.3725,1150.1176,195,3.58,1.00E-05,
FALSE,FALSE,50,19086175,19086171,30.108847,-90.972786,230.02368,0.08457383,0.04,0.08,383.3728,1150.1184,5047,3.58,1.00E-05,
FALSE,FALSE,51,19086171,19086177,30.135998,-90.93991,230.02385,0.0845738,0.04,0.08,383.37308,1150.1193,6098,3.58,1.00E-05,
FALSE,FALSE,52,19086177,19086181,30.094728,-90.91179,230.024,0.084573776,0.04,0.08,383.37332,1150.12,6071,3.58,1.00E-05,
FALSE,FALSE,53,19086181,19086193,30.063501,-90.87185,230.02417,0.084573746,0.04,0.08,383.3736,1150.1208,6136,3.58,1.00E-05,
FALSE,FALSE,54,19086193,19088125,30.027403,-90.836235,230.02432,0.08457372,0.04,0.08,383.37387,1150.1216,6101,3.58,1.00E-05,
FALSE,FALSE,55,19088125,19088123,29.989168,-90.82834,230.0244,0.08457371,0.04,0.08,383.374,1150.122,2484,3.58,1.00E-05,
FALSE,FALSE,56,19088123,19086191,29.989336,-90.80755,230.0245,0.08457369,0.04,0.08,383.37418,1150.1226,3348,3.58,1.00E-05,
FALSE,FALSE,57,19086191,19086189,30.008991,-90.78422,230.0246,0.08457368,0.04,0.08,383.37433,1150.1229,2848,3.58,1.00E-05,
FALSE,FALSE,58,19086189,19086187,30.014553,-90.739784,230.02481,0.08457364,0.04,0.08,383.37466,1150.124,6104,3.58,1.00E-05,
FALSE,FALSE,59,19086187,19086185,30.038595,-90.68529,230.02496,0.08457362,0.04,0.08,383.37494,1150.1249,6151,3.58,1.00E-05,
FALSE,FALSE,60,19086185,19086183,30.037745,-90.63129,230.02519,0.08457358,0.04,0.08,383.37534,1150.126,6109,3.58,1.00E-05,
FALSE,FALSE,61,19086183,19086179,30.051483,-90.5768,230.02534,0.08457355,0.04,0.08,383.37558,1150.1267,6097,3.58,1.00E-05,
FALSE,FALSE,62,19086179,19086195,30.049866,-90.51493,230.02554,0.08457352,0.04,0.08,383.3759,1150.1277,6117,3.58,1.00E-05,
FALSE,FALSE,63,19086195,22795715,30.031546,-90.47371,230.02579,0.084573485,0.04,0.08,383.3763,1150.1289,4874,3.58,1.00E-05,
FALSE,FALSE,64,22795715,22799299,30.004108,-90.47258,230.02582,0.08457348,0.04,0.08,383.37637,1150.1292,1224,3.58,1.00E-05,
FALSE,FALSE,65,22799299,22799303,29.997639,-90.46065,230.02586,0.08457347,0.04,0.08,383.37643,1150.1293,1602,3.58,1.00E-05,
FALSE,FALSE,66,22799303,22799305,29.990852,-90.408775,230.02614,0.084573425,0.04,0.08,383.3769,1150.1307,9044,3.58,1.00E-05,
FALSE,FALSE,67,22799305,22799307,29.96886,-90.2714,230.02689,0.084573306,0.04,0.08,383.37814,1150.1344,27760,3.58,1.00E-05,
FALSE,FALSE,68,22799307,22799309,29.921446,-90.13834,230.0272,0.084573254,0.04,0.08,383.37866,1150.136,12374,3.58,1.00E-05,
FALSE,FALSE,69,22799309,22814383,29.943872,-90.05784,230.02739,0.084573224,0.04,0.08,383.37897,1150.137,8968,3.58,3.00E-05,
FALSE,FALSE,70,22814383,22814607,29.946697,-90.013985,230.02803,0.08457312,0.04,0.08,383.38004,1150.1401,3251,3.35,8.00E-05,
FALSE,FALSE,71,22814607,22798749,29.92895,-89.98154,230.02814,0.084573105,0.04,0.08,383.38022,1150.1406,4116,3.09,1.00E-05,
FALSE,FALSE,72,22798749,22799321,29.867401,-89.92515,230.0309,0.08457266,0.04,0.08,383.38483,1150.1544,23445,3.09,8.00E-05,
FALSE,FALSE,73,22799321,22798751,29.77646,-90.02178,230.03117,0.08457261,0.04,0.08,383.38528,1150.1559,11193,1.11,1.00E-05,
FALSE,FALSE,74,22798751,22811925,29.606716,-89.86699,230.03224,0.084572434,0.04,0.08,383.38705,1150.1611,40900,1.11,1.00E-05,
FALSE,FALSE,75,22811925,22811923,29.486372,-89.6938,230.03232,0.08457243,0.04,0.08,383.3872,1150.1616,3607,0.97,6.00E-05,
FALSE,FALSE,76,22811923,22814447,29.45246,-89.61032,230.03302,0.08457231,0.04,0.08,383.38837,1150.1652,15650,0.75,1.00E-05,
FALSE,FALSE,77,22814447,22814637,29.37117,-89.55871,230.03319,0.084572285,0.04,0.08,383.38867,1150.166,6314,0.75,1.00E-05,
FALSE,FALSE,78,22814637,22811921,29.34815,-89.49672,230.03339,0.084572256,0.04,0.08,383.38898,1150.1669,7031,0.75,1.00E-05,
FALSE,FALSE,79,22811921,22811951,29.358694,-89.4349,230.0336,0.08457222,0.04,0.08,383.38934,1150.1681,7023,0.75,1.00E-05,
FALSE,FALSE,80,22811951,22812021,29.316448,-89.37937,230.03381,0.08457218,0.04,0.08,383.38968,1150.1691,7594,0.75,1.00E-05,
FALSE,FALSE,81,22812021,22812037,29.282932,-89.3537,230.03384,0.08457218,0.04,0.08,383.38974,1150.1692,1307,0.75,1.00E-05,
FALSE,FALSE,82,22812037,22812035,29.25236,-89.31693,230.0341,0.08457214,0.04,0.08,383.3902,1150.1705,8673,0.75,3.00E-05,
FALSE,FALSE,83,22812035,22812041,29.206934,-89.28173,230.03424,0.084572114,0.04,0.08,383.39038,1150.1711,3526,0.52,1.00E-05,
FALSE,FALSE,84,22812041,22811543,29.177265,-89.263626,230.03438,0.08457209,0.04,0.08,383.39062,1150.1719,3970,0.52,2.00E-05,
FALSE,FALSE,85,22811543,22811621,29.146448,-89.23659,230.0345,0.08457207,0.04,0.08,383.39084,1150.1725,4872,0.43,9.00E-05,
FALSE,FALSE,86,22811621,22812059,29.154888,-89.19281,230.03458,0.08457206,0.04,0.08,383.39096,1150.1729,4703,0.01,1.00E-05,
FALSE,FALSE,87,22812059,22814591,29.157486,-89.16228,230.03459,0.084572054,0.04,0.08,383.391,1150.173,1529,0.01,1.00E-05,
FALSE,FALSE,88,22814591,22812065,29.153,-89.15475,230.0346,0.084572054,0.04,0.08,383.391,1150.173,234,0.01,1.00E-05,
FALSE,FALSE,89,22812065,22812063,29.138693,-89.14735,230.03473,0.08457203,0.04,0.08,383.3912,1150.1736,3148,0.01,2.00E-05,
FALSE,FALSE,90,22812063,22812067,29.13232,-89.11673,230.0348,0.084572025,0.04,0.08,383.39133,1150.174,3497,-0.04,1.00E-05,
FALSE,FALSE,91,22812067,22811613,29.124483,-89.08435,230.03491,0.084572,0.04,0.08,383.39154,1150.1746,3073,-0.04,1.00E-05,
FALSE,FALSE,92,22811613,22811611,29.12416,-89.05837,230.03497,0.084571995,0.04,0.08,383.39163,1150.1748,2692,-0.04,1.00E-05,
FALSE,FALSE,93,22811611,0,29.134657,-89.038704,230.03499,0.084571995,0.04,0.08,383.39166,1150.1749,1808,-0.04,2.00E-05,
