Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.10	20.00
1	20Aug2025 0010	8.10	20.27
2	20Aug2025 0020	8.10	20.24
3	20Aug2025 0030	8.10	20.24
4	20Aug2025 0040	8.10	20.21
5	20Aug2025 0050	8.10	20.18
6	20Aug2025 0100	8.10	20.15
7	20Aug2025 0110	8.09	20.14
8	20Aug2025 0120	8.09	20.12
9	20Aug2025 0130	8.09	20.11
10	20Aug2025 0140	8.09	20.10
11	20Aug2025 0150	8.09	20.10
12	20Aug2025 0200	8.09	20.09
13	20Aug2025 0210	8.09	20.07
14	20Aug2025 0220	8.10	19.85
15	20Aug2025 0230	8.10	19.69
16	20Aug2025 0240	8.11	19.69
17	20Aug2025 0250	8.12	19.76
18	20Aug2025 0300	8.14	19.86
19	20Aug2025 0310	8.15	20.02
20	20Aug2025 0320	8.17	20.60
21	20Aug2025 0330	8.18	21.11
22	20Aug2025 0340	8.18	21.36
23	20Aug2025 0350	8.18	21.48
24	20Aug2025 0400	8.18	21.55
25	20Aug2025 0410	8.18	21.54
26	20Aug2025 0420	8.18	21.28
27	20Aug2025 0430	8.17	21.04
28	20Aug2025 0440	8.17	20.92
29	20Aug2025 0450	8.17	20.83
30	20Aug2025 0500	8.16	20.76
31	20Aug2025 0510	8.16	20.69
32	20Aug2025 0520	8.16	20.64
33	20Aug2025 0530	8.16	20.60
34	20Aug2025 0540	8.16	20.55
35	20Aug2025 0550	8.15	20.52
36	20Aug2025 0600	8.15	20.48
37	20Aug2025 0610	8.15	20.45
38	20Aug2025 0620	8.15	20.43
39	20Aug2025 0630	8.15	20.40
40	20Aug2025 0640	8.15	20.38
41	20Aug2025 0650	8.14	20.36
42	20Aug2025 0700	8.14	20.34
43	20Aug2025 0710	8.14	20.33
44	20Aug2025 0720	8.14	20.31
45	20Aug2025 0730	8.14	20.30
46	20Aug2025 0740	8.14	20.28
47	20Aug2025 0750	8.14	20.27
