x, y
-0.02002002002002002, 40.011673151750976
2.4824824824824825, 39.988326848249024
4.104104104104104, 40.011673151750976
5.585585585585585, 40.011673151750976
6.766766766766767, 40.08171206225681
7.5475475475475475, 40.5136186770428
8.368368368368369, 41.4124513618677
8.84884884884885, 41.90272373540856
9.40940940940941, 42.19455252918288
10.11011011011011, 42.19455252918288
11.03103103103103, 41.89105058365759
11.631631631631631, 41.56420233463035
12.572572572572572, 41.05058365758755
13.513513513513514, 40.59533073929961
14.854854854854855, 40.233463035019454
16.756756756756758, 40.05836575875487
18.91891891891892, 40
21.001001001001, 40
23.983983983983983, 40
