Date,seconds,discharge-cms
2008-06-01 00:00:00,1302.5636,154.6103873872208
2008-06-01 01:00:00,5210.2507,154.61087964816195
2008-06-01 02:00:00,9117.9384,154.61067248081014
2008-06-01 03:00:00,13025.6268,154.61099123141028
2008-06-01 04:00:00,15630.7504,154.6109237202902
2008-06-01 05:00:00,19538.4355,154.6110797317258
2008-06-01 06:00:00,23446.1222,154.61065725205688
2008-06-01 07:00:00,27353.80875,154.61128601726057
2008-06-01 08:00:00,31261.4922,154.6106757334711
2008-06-01 09:00:00,33866.6158,154.61115319933253
2008-06-01 10:00:00,37774.301600000006,154.61098030087243
2008-06-01 11:00:00,41681.9908,154.61048359342155
2008-06-01 12:00:00,44287.1181,154.61042179125698
2008-06-01 13:00:00,48194.80695,154.610750866569
2008-06-01 14:00:00,52102.4936,154.61067940916655
2008-06-01 15:00:00,56010.18135,154.61047888170748
2008-06-01 16:00:00,59917.8707,154.61009108894064
2008-06-01 17:00:00,62522.9994,154.60971816030025
2008-06-01 18:00:00,66430.69345,154.61015967656374
2008-06-01 19:00:00,70338.385,154.6100676788525
2008-06-01 20:00:00,74246.0767,154.61001330986286
2008-06-01 21:00:00,78153.7726,154.6096275522158
2008-06-01 22:00:00,80758.9059,154.60889294230606
2008-06-01 23:00:00,84666.60485,154.6097075515721
2008-06-02 00:00:00,88574.3116,154.61171839933644
2008-06-02 01:00:00,91179.4624,154.60349370244882
2008-06-02 02:00:00,95087.43155000001,154.5747078835949
2008-06-02 03:00:00,98996.0451,154.5293017888768
2008-06-02 04:00:00,102906.0661,154.46142920484232
2008-06-02 05:00:00,106817.5997,154.374699108542
2008-06-02 06:00:00,109426.4684,154.30430202573328
2008-06-02 07:00:00,113341.77525,154.18090843717974
2008-06-02 08:00:00,117259.2559,154.0391090231123
2008-06-02 09:00:00,119872.4535,153.93300468174388
2008-06-02 10:00:00,123794.73425000001,153.75430074829706
2008-06-02 11:00:00,127719.6272,153.5615673868904
2008-06-02 12:00:00,131647.94185,153.3491610737022
2008-06-02 13:00:00,135579.1295,153.11937403060517
2008-06-02 14:00:00,138201.9022,152.9587060699516
2008-06-02 15:00:00,142139.12915,152.70253519266
2008-06-02 16:00:00,146079.5134,152.4341518718883
2008-06-02 17:00:00,148708.5945,152.2477178660551
2008-06-02 18:00:00,152655.55315,151.9546963135232
2008-06-02 19:00:00,156605.9359,151.650014845255
2008-06-02 20:00:00,160560.71675000002,151.33255539972544
2008-06-02 21:00:00,164519.1223,151.002435283394
2008-06-02 22:00:00,167160.5319,150.77608328997573
2008-06-02 23:00:00,171126.43105,150.4281588256962
2008-06-03 00:00:00,175096.1695,150.0653459107474
2008-06-03 01:00:00,177745.2559,149.82592304011294
2008-06-03 02:00:00,181722.49665,149.4732923272375
2008-06-03 03:00:00,185702.9331,149.12712089875205
2008-06-03 04:00:00,188358.4701,148.90086538813154
2008-06-03 05:00:00,192344.38115,148.57198672514255
2008-06-03 06:00:00,196332.7316,148.25313026964628
2008-06-03 07:00:00,198993.1657,148.0475004081539
2008-06-03 08:00:00,202985.99395,147.74784746597373
2008-06-03 09:00:00,206980.9072,147.45794938632716
2008-06-03 10:00:00,210978.30395,147.18045661098574
2008-06-03 11:00:00,214977.6018,146.913310387865
2008-06-03 12:00:00,217645.0145,146.74184726603596
2008-06-03 13:00:00,221647.87774999999,146.4934650092336
2008-06-03 14:00:00,225652.4218,146.25451044788448
2008-06-03 15:00:00,228323.198,146.10032871192251
2008-06-03 16:00:00,232330.91515000002,145.87904915048745
2008-06-03 17:00:00,236340.1158,145.66656023667255
2008-06-03 18:00:00,239013.8682,145.52968012494154
2008-06-03 19:00:00,243025.85285000002,145.333937301533
2008-06-03 20:00:00,247039.1291,145.1463672522889
2008-06-03 21:00:00,249715.4683,145.02708233906242
2008-06-03 22:00:00,253731.15435,144.85299263298725
2008-06-03 23:00:00,257747.9721,144.68773425301316
2008-06-04 00:00:00,260426.5939,144.5967513373092
2008-06-04 01:00:00,264445.6665,144.41578737656152
2008-06-04 02:00:00,268466.8263,144.1826871753965
2008-06-04 03:00:00,271150.4201,143.99293495326864
2008-06-04 04:00:00,275182.88145,143.62185257720418
2008-06-04 05:00:00,279224.9251,143.2164135889249
2008-06-04 06:00:00,281927.4338,143.12581327344412
2008-06-04 07:00:00,285996.56830000004,142.07416109725827
2008-06-04 08:00:00,290083.4995,140.3594180010372
2008-06-04 09:00:00,292820.8405,139.12713826733184
2008-06-04 10:00:00,296947.6681,137.16008267016082
2008-06-04 11:00:00,301096.6949,135.08484418420568
2008-06-04 12:00:00,303878.4322,133.63556233623046
2008-06-04 13:00:00,308076.25234999997,131.3732838506872
2008-06-04 14:00:00,312300.6587,129.03001963959278
2008-06-04 15:00:00,315135.5614,127.41851700122041
2008-06-04 16:00:00,317985.1408,125.7723110930607
2008-06-04 17:00:00,322290.2818,123.23919564187716
2008-06-04 18:00:00,326627.6504,120.64705838318068
2008-06-04 19:00:00,329541.7182,118.88225234481804
2008-06-04 20:00:00,332473.4297,117.0916738977648
2008-06-04 21:00:00,336907.90060000005,114.3574546106067
2008-06-04 22:00:00,341380.971,111.5773034602852
2008-06-04 23:00:00,344389.936,109.69473454937999
2008-06-05 00:00:00,347420.6204,107.49747271475995
2008-06-05 01:00:00,350475.9472,105.1859322750257
2008-06-05 02:00:00,353555.6026,103.01116283321969
2008-06-05 03:00:00,358222.0443,99.99528237822992
2008-06-05 04:00:00,362933.8187,97.20212853851764
2008-06-05 05:00:00,366104.2032,95.47328500906322
2008-06-05 06:00:00,369295.7702,93.83508330075284
2008-06-05 07:00:00,372507.9809,92.27913234776842
2008-06-05 08:00:00,375740.3207,90.79943271539527
2008-06-05 09:00:00,378992.3215,89.38923042115225
2008-06-05 10:00:00,382263.5592,88.04309070700909
2008-06-05 11:00:00,385553.6102,86.75537084990074
2008-06-05 12:00:00,390524.8491,85.04474391512643
2008-06-05 13:00:00,395525.7868,83.80654615020664
2008-06-05 14:00:00,398875.5344,83.10072618467233
2008-06-05 15:00:00,402236.5442,82.40668141080157
2008-06-05 16:00:00,405608.908,81.71067423060799
2008-06-05 17:00:00,408992.8857,81.01108833231565
2008-06-05 18:00:00,412388.6031,80.31266321940934
2008-06-05 19:00:00,415796.1781,79.61754214243047
2008-06-05 20:00:00,419215.7797,78.92291542266456
2008-06-05 21:00:00,422647.6375,78.21232695208332
2008-06-05 22:00:00,426092.1158,77.49862199212667
2008-06-05 23:00:00,429549.4427,76.78190193522599
2008-06-06 00:00:00,433019.6948,76.10903920203279
2008-06-06 01:00:00,436498.1726,75.78758803425421
2008-06-06 02:00:00,439981.185,75.51410147322406
2008-06-06 03:00:00,443468.869,75.23513196441002
2008-06-06 04:00:00,446961.4413,74.95457997771244
2008-06-06 05:00:00,450458.8389,74.67510432880024
2008-06-06 06:00:00,453960.9481,74.39776693117477
2008-06-06 07:00:00,457467.6842,74.12431960789836
2008-06-06 08:00:00,460978.9124,73.85360365954298
2008-06-06 09:00:00,464494.4908,73.58769346543073
2008-06-06 10:00:00,469776.22265,73.19601247230861
2008-06-06 11:00:00,475065.9565,72.8162364323673
2008-06-06 12:00:00,478597.5442,72.57032810607737
2008-06-06 13:00:00,482132.8181,72.32979314757848
2008-06-06 14:00:00,485671.6522,72.09639285689245
2008-06-06 15:00:00,489213.8881,71.86985208505394
2008-06-06 16:00:00,492759.3619,71.65176591366779
2008-06-06 17:00:00,496307.9051,71.44084005976097
2008-06-06 18:00:00,499859.3602,71.23754319028444
2008-06-06 19:00:00,503413.5612,71.0423444400144
2008-06-06 20:00:00,506970.3477,70.85528532940413
2008-06-06 21:00:00,510529.5765,70.67669114016616
