x, y
0, 20
2.3423423423423424, 20
3.003003003003003, 20.04669260700389
3.6436436436436437, 20.642023346303503
4.064064064064064, 21.44747081712062
4.404404404404405, 22.171206225680933
4.584584584584585, 22.32295719844358
4.904904904904905, 22.521400778210115
5.525525525525525, 22.346303501945524
6.146146146146146, 22.19455252918288
6.786786786786787, 21.94941634241245
7.707707707707708, 21.377431906614785
8.468468468468469, 20.863813229571985
9.52952952952953, 20.43190661478599
11.01101101101101, 20.140077821011673
12.732732732732732, 20.035019455252918
14.794794794794795, 20.011673151750973
17.87787787787788, 20
21.08108108108108, 20
23.983983983983983, 20.011673151750973
