Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
                                                                                    
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.000000   0.000000   1.817218 
 1                1                0                20.009630   0.000000   1.817522 
 1                1                0                20.052780   0.000000   1.819961 
 1                1                0                20.130590   0.000000   1.824533 
 1                1                0                20.246440   0.000000   1.831238 
 1                1                0                20.402340   0.000000   1.840078 
 1                1                0                20.599110   0.000000   1.851050 
 1                1                0                20.804530   0.000000   1.862938 
 1                1                0                20.978580   0.000000   1.872691 
 1                1                0                21.117620   0.000000   1.880616 
 1                1                0                21.215540   0.000000   1.886102 
 1                1                0                21.269310   0.000000   1.889150 
 1                1                0                21.278000   0.000000   1.889760 
 1                1                0                21.255580   0.000000   1.888541 
 1                1                0                21.222720   0.000000   1.886712 
 1                1                0                21.180150   0.000000   1.884274 
 1                1                0                21.131390   0.000000   1.881530 
 1                1                0                21.078980   0.000000   1.878482 
 1                1                0                21.024740   0.000000   1.875434 
 1                1                0                20.970030   0.000000   1.872386 
 1                1                0                20.915780   0.000000   1.869034 
 1                1                0                20.862680   0.000000   1.866290 
 1                1                0                20.811210   0.000000   1.863242 
 1                1                0                20.761670   0.000000   1.860499 
 1                1                0                20.714280   0.000000   1.857756 
 1                1                0                20.669150   0.000000   1.855013 
 1                1                0                20.626340   0.000000   1.852574 
 1                1                0                20.585840   0.000000   1.850441 
 1                1                0                20.547630   0.000000   1.848307 
 1                1                0                20.511650   0.000000   1.846174 
 1                1                0                20.477820   0.000000   1.844345 
 1                1                0                20.446070   0.000000   1.842516 
 1                1                0                20.416290   0.000000   1.840687 
 1                1                0                20.388380   0.000000   1.839163 
 1                1                0                20.362270   0.000000   1.837639 
 1                1                0                20.337840   0.000000   1.836420 
 1                1                0                20.314990   0.000000   1.834896 
 1                1                0                20.293650   0.000000   1.833677 
 1                1                0                20.273710   0.000000   1.832762 
 1                1                0                20.255090   0.000000   1.831543 
 1                1                0                20.237710   0.000000   1.830629 
 1                1                0                20.221500   0.000000   1.829714 
 1                1                0                20.206370   0.000000   1.828800 
 1                1                0                20.192260   0.000000   1.827886 
 1                1                0                20.179110   0.000000   1.827276 
 1                1                0                20.166840   0.000000   1.826666 
 1                1                0                20.155400   0.000000   1.826057 
 1                1                0                20.144740   0.000000   1.825447 
 1                1                0                20.134800   0.000000   1.824838 
 1                1                0                20.125550   0.000000   1.824228 
 1                1                0                20.116910   0.000000   1.823618 
 1                1                0                20.108870   0.000000   1.823314 
 1                1                0                20.101390   0.000000   1.822704 
 1                1                0                20.094410   0.000000   1.822399 
 1                1                0                20.087910   0.000000   1.822094 
 1                1                0                20.081850   0.000000   1.821790 
 1                1                0                20.076210   0.000000   1.821485 
 1                1                0                20.070960   0.000000   1.821180 
 1                1                0                20.066060   0.000000   1.820875 
 1                1                0                20.061510   0.000000   1.820570 
 1                1                0                20.057270   0.000000   1.820266 
 1                1                0                20.053310   0.000000   1.820266 
 1                1                0                20.049640   0.000000   1.819961 
 1                1                0                20.046220   0.000000   1.819656 
 1                1                0                20.043020   0.000000   1.819656 
 1                1                0                20.040050   0.000000   1.819351 
 1                1                0                20.037280   0.000000   1.819351 
 1                1                0                20.034710   0.000000   1.819046 
 1                1                0                20.032310   0.000000   1.819046 
 1                1                0                20.030080   0.000000   1.818742 
 1                1                0                20.028000   0.000000   1.818742 
 1                1                0                20.026070   0.000000   1.818437 
 1                1                0                20.024260   0.000000   1.818437 
 1                1                0                20.022590   0.000000   1.818437 
 1                1                0                20.021030   0.000000   1.818132 
 1                1                0                20.019570   0.000000   1.818132 
 1                1                0                20.018220   0.000000   1.818132 
 1                1                0                20.016960   0.000000   1.818132 
 1                1                0                20.015790   0.000000   1.818132 
 1                1                0                20.014700   0.000000   1.817827 
 1                1                0                20.013680   0.000000   1.817827 
 1                1                0                20.012730   0.000000   1.817827 
 1                1                0                20.011850   0.000000   1.817827 
 1                1                0                20.011030   0.000000   1.817827 
 1                1                0                20.010270   0.000000   1.817522 
 1                1                0                20.009560   0.000000   1.817522 
 1                1                0                20.008890   0.000000   1.817522 
 1                1                0                20.008280   0.000000   1.817522 
 1                1                0                20.007710   0.000000   1.817522 
 1                1                0                20.007170   0.000000   1.817522 
 1                1                0                20.006680   0.000000   1.817522 
 1                1                0                20.006220   0.000000   1.817522 
 1                1                0                20.005780   0.000000   1.817522 
 1                1                0                20.005380   0.000000   1.817522 
 1                1                0                20.005010   0.000000   1.817218 
 1                1                0                20.004660   0.000000   1.817218 
 1                1                0                20.004340   0.000000   1.817218 
 1                1                0                20.004040   0.000000   1.817218 
 1                1                0                20.003760   0.000000   1.817218 
 1                1                0                20.003500   0.000000   1.817218 
 1                1                0                20.003260   0.000000   1.817218 
 1                1                0                20.003030   0.000000   1.817218 
 1                1                0                20.002820   0.000000   1.817218 
 1                1                0                20.002620   0.000000   1.817218 
 1                1                0                20.002440   0.000000   1.817218 
 1                1                0                20.002270   0.000000   1.817218 
 1                1                0                20.002120   0.000000   1.817218 
 1                1                0                20.001970   0.000000   1.817218 
 1                1                0                20.001830   0.000000   1.817218 
 1                1                0                20.001710   0.000000   1.817218 
 1                1                0                20.001590   0.000000   1.817218 
 1                1                0                20.001470   0.000000   1.817218 
 1                1                0                20.001380   0.000000   1.817218 
 1                1                0                20.001280   0.000000   1.817218 
 1                1                0                20.001190   0.000000   1.817218 
 1                1                0                20.001110   0.000000   1.817218 
 1                1                0                20.001030   0.000000   1.817218 
 1                1                0                20.000960   0.000000   1.817218 
 1                1                0                20.000890   0.000000   1.817218 
 1                1                0                20.000830   0.000000   1.817218 
 1                1                0                20.000770   0.000000   1.817218 
 1                1                0                20.000720   0.000000   1.817218 
 1                1                0                20.000670   0.000000   1.817218 
 1                1                0                20.000620   0.000000   1.817218 
 1                1                0                20.000580   0.000000   1.817218 
 1                1                0                20.000530   0.000000   1.817218 
 1                1                0                20.000500   0.000000   1.817218 
                                                                                    
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         19.999990   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         19.999990   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.000000   0.499872   2.317090 
 1                1                5000.00*         20.008460   0.499872   2.317394 
 1                1                5000.00*         20.111720   0.499872   2.319528 
 1                1                5000.00*         20.282210   0.499872   2.323490 
 1                1                5000.00*         20.512890   0.499872   2.329587 
 1                1                5000.00*         20.799380   0.499872   2.338121 
 1                1                5000.00*         21.135080   0.499872   2.348484 
 1                1                5000.00*         21.473110   0.499872   2.360676 
 1                1                5000.00*         21.651290   0.499872   2.370734 
 1                1                5000.00*         21.731320   0.499872   2.378659 
 1                1                5000.00*         21.724410   0.499872   2.384450 
 1                1                5000.00*         21.641190   0.499872   2.388108 
 1                1                5000.00*         21.498060   0.499872   2.389327 
 1                1                5000.00*         21.318300   0.499872   2.388108 
 1                1                5000.00*         21.190140   0.499872   2.386584 
 1                1                5000.00*         21.081840   0.499872   2.384755 
 1                1                5000.00*         20.989790   0.499872   2.382012 
 1                1                5000.00*         20.911480   0.499872   2.379269 
 1                1                5000.00*         20.841510   0.499872   2.376221 
 1                1                5000.00*         20.778160   0.499872   2.373173 
 1                1                5000.00*         20.720660   0.499872   2.370125 
 1                1                5000.00*         20.668180   0.499872   2.367077 
 1                1                5000.00*         20.620090   0.499872   2.364029 
 1                1                5000.00*         20.575860   0.499872   2.361286 
 1                1                5000.00*         20.535110   0.499872   2.358542 
 1                1                5000.00*         20.497460   0.499872   2.355799 
 1                1                5000.00*         20.462660   0.499872   2.353361 
 1                1                5000.00*         20.430410   0.499872   2.350922 
 1                1                5000.00*         20.400510   0.499872   2.348789 
 1                1                5000.00*         20.372770   0.499872   2.346655 
 1                1                5000.00*         20.347000   0.499872   2.344826 
 1                1                5000.00*         20.323030   0.499872   2.342998 
 1                1                5000.00*         20.300760   0.499872   2.341169 
 1                1                5000.00*         20.280020   0.499872   2.339645 
 1                1                5000.00*         20.260740   0.499872   2.338121 
 1                1                5000.00*         20.242790   0.499872   2.336597 
 1                1                5000.00*         20.226080   0.499872   2.335378 
 1                1                5000.00*         20.210520   0.499872   2.334158 
 1                1                5000.00*         20.196030   0.499872   2.332939 
 1                1                5000.00*         20.182540   0.499872   2.332025 
 1                1                5000.00*         20.169970   0.499872   2.330806 
 1                1                5000.00*         20.158270   0.499872   2.329891 
 1                1                5000.00*         20.147370   0.499872   2.328977 
 1                1                5000.00*         20.137220   0.499872   2.328367 
 1                1                5000.00*         20.127770   0.499872   2.327453 
 1                1                5000.00*         20.118970   0.499872   2.326843 
 1                1                5000.00*         20.110760   0.499872   2.326234 
 1                1                5000.00*         20.103120   0.499872   2.325624 
 1                1                5000.00*         20.096010   0.499872   2.325014 
 1                1                5000.00*         20.089400   0.499872   2.324405 
 1                1                5000.00*         20.083230   0.499872   2.323795 
 1                1                5000.00*         20.077490   0.499872   2.323490 
 1                1                5000.00*         20.072140   0.499872   2.322881 
 1                1                5000.00*         20.067160   0.499872   2.322576 
 1                1                5000.00*         20.062530   0.499872   2.322271 
 1                1                5000.00*         20.058210   0.499872   2.321966 
 1                1                5000.00*         20.054200   0.499872   2.321357 
 1                1                5000.00*         20.050450   0.499872   2.321052 
 1                1                5000.00*         20.046970   0.499872   2.321052 
 1                1                5000.00*         20.043730   0.499872   2.320747 
 1                1                5000.00*         20.040700   0.499872   2.320442 
 1                1                5000.00*         20.037890   0.499872   2.320138 
 1                1                5000.00*         20.035270   0.499872   2.319833 
 1                1                5000.00*         20.032830   0.499872   2.319833 
 1                1                5000.00*         20.030560   0.499872   2.319528 
 1                1                5000.00*         20.028450   0.499872   2.319528 
 1                1                5000.00*         20.026480   0.499872   2.319223 
 1                1                5000.00*         20.024650   0.499872   2.319223 
 1                1                5000.00*         20.022950   0.499872   2.318918 
 1                1                5000.00*         20.021360   0.499872   2.318918 
 1                1                5000.00*         20.019880   0.499872   2.318614 
 1                1                5000.00*         20.018510   0.499872   2.318614 
 1                1                5000.00*         20.017230   0.499872   2.318614 
 1                1                5000.00*         20.016040   0.499872   2.318309 
 1                1                5000.00*         20.014930   0.499872   2.318309 
 1                1                5000.00*         20.013890   0.499872   2.318309 
 1                1                5000.00*         20.012930   0.499872   2.318004 
 1                1                5000.00*         20.012040   0.499872   2.318004 
 1                1                5000.00*         20.011210   0.499872   2.318004 
 1                1                5000.00*         20.010430   0.499872   2.318004 
 1                1                5000.00*         20.009710   0.499872   2.318004 
 1                1                5000.00*         20.009040   0.499872   2.317699 
 1                1                5000.00*         20.008410   0.499872   2.317699 
 1                1                5000.00*         20.007830   0.499872   2.317699 
 1                1                5000.00*         20.007290   0.499872   2.317699 
 1                1                5000.00*         20.006780   0.499872   2.317699 
 1                1                5000.00*         20.006310   0.499872   2.317699 
 1                1                5000.00*         20.005880   0.499872   2.317699 
 1                1                5000.00*         20.005470   0.499872   2.317394 
 1                1                5000.00*         20.005090   0.499872   2.317394 
 1                1                5000.00*         20.004740   0.499872   2.317394 
 1                1                5000.00*         20.004410   0.499872   2.317394 
 1                1                5000.00*         20.004100   0.499872   2.317394 
 1                1                5000.00*         20.003820   0.499872   2.317394 
 1                1                5000.00*         20.003560   0.499872   2.317394 
 1                1                5000.00*         20.003310   0.499872   2.317394 
 1                1                5000.00*         20.003080   0.499872   2.317394 
 1                1                5000.00*         20.002870   0.499872   2.317394 
 1                1                5000.00*         20.002670   0.499872   2.317394 
 1                1                5000.00*         20.002480   0.499872   2.317394 
 1                1                5000.00*         20.002320   0.499872   2.317394 
 1                1                5000.00*         20.002150   0.499872   2.317394 
 1                1                5000.00*         20.002000   0.499872   2.317394 
 1                1                5000.00*         20.001860   0.499872   2.317394 
 1                1                5000.00*         20.001740   0.499872   2.317090 
 1                1                5000.00*         20.001620   0.499872   2.317090 
 1                1                5000.00*         20.001500   0.499872   2.317090 
 1                1                5000.00*         20.001400   0.499872   2.317090 
 1                1                5000.00*         20.001300   0.499872   2.317090 
 1                1                5000.00*         20.001210   0.499872   2.317090 
 1                1                5000.00*         20.001130   0.499872   2.317090 
 1                1                5000.00*         20.001050   0.499872   2.317090 
 1                1                5000.00*         20.000970   0.499872   2.317090 
 1                1                5000.00*         20.000910   0.499872   2.317090 
 1                1                5000.00*         20.000840   0.499872   2.317090 
 1                1                5000.00*         20.000790   0.499872   2.317090 
 1                1                5000.00*         20.000730   0.499872   2.317090 
 1                1                5000.00*         20.000680   0.499872   2.317090 
 1                1                5000.00*         20.000630   0.499872   2.317090 
 1                1                5000.00*         20.000590   0.499872   2.317090 
 1                1                5000.00*         20.000550   0.499872   2.317090 
 1                1                5000.00*         20.000510   0.499872   2.317090 
 1                1                5000.00*         20.000470   0.499872   2.317090 
 1                1                5000.00*         20.000440   0.499872   2.317090 
 1                1                5000.00*         20.000410   0.499872   2.317090 
 1                1                5000.00*         20.000380   0.499872   2.317090 
 1                1                5000.00*         20.000350   0.499872   2.317090 
 1                1                5000.00*         20.000320   0.499872   2.317090 
 1                1                5000.00*         20.000310   0.499872   2.317090 
                                                                                           
