Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                20000                20.00       2.00       3.82 
                                                                                    
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.00       0.00       1.82 
 1                1                0                    20.01       0.00       1.82 
 1                1                0                    20.05       0.00       1.82 
 1                1                0                    20.13       0.00       1.82 
 1                1                0                    20.25       0.00       1.83 
 1                1                0                    20.40       0.00       1.84 
 1                1                0                    20.60       0.00       1.85 
 1                1                0                    20.80       0.00       1.86 
 1                1                0                    20.98       0.00       1.87 
 1                1                0                    21.12       0.00       1.88 
 1                1                0                    21.22       0.00       1.89 
 1                1                0                    21.27       0.00       1.89 
 1                1                0                    21.28       0.00       1.89 
 1                1                0                    21.26       0.00       1.89 
 1                1                0                    21.22       0.00       1.89 
 1                1                0                    21.18       0.00       1.88 
 1                1                0                    21.13       0.00       1.88 
 1                1                0                    21.08       0.00       1.88 
 1                1                0                    21.02       0.00       1.88 
 1                1                0                    20.97       0.00       1.87 
 1                1                0                    20.92       0.00       1.87 
 1                1                0                    20.86       0.00       1.87 
 1                1                0                    20.81       0.00       1.86 
 1                1                0                    20.76       0.00       1.86 
 1                1                0                    20.71       0.00       1.86 
 1                1                0                    20.67       0.00       1.86 
 1                1                0                    20.63       0.00       1.85 
 1                1                0                    20.59       0.00       1.85 
 1                1                0                    20.55       0.00       1.85 
 1                1                0                    20.51       0.00       1.85 
 1                1                0                    20.48       0.00       1.84 
 1                1                0                    20.45       0.00       1.84 
 1                1                0                    20.42       0.00       1.84 
 1                1                0                    20.39       0.00       1.84 
 1                1                0                    20.36       0.00       1.84 
 1                1                0                    20.34       0.00       1.84 
 1                1                0                    20.31       0.00       1.83 
