xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,usgs_url,field_27,,maindepth
15,19086181,19086181,FALSE,19086193,-90.87184906,30.06350136,3.579999924,10,0,3600,0.200000003,6136,0.039999999,9.99999974737875e-06,0.084573746,230.0241699,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,677533,0.079999998,1150.12085,383.3735962,,,153.3494263,12.96933538
16,19086193,19086193,FALSE,19088125,-90.83623505,30.02740288,3.579999924,10,0,3600,0.200000003,6101,0.039999999,9.99999974737875e-06,0.084573723,230.0243225,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,681926,0.079999998,1150.121582,383.3738708,,,153.3495483,12.96934228
17,19088125,19088125,FALSE,19088123,-90.82833862,29.98916817,3.579999924,10,0,3600,0.200000003,2484,0.039999999,9.99999974737875e-06,0.084573708,230.0243988,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539988,0.079999998,1150.121948,383.3739929,,,153.3495941,12.96934387
18,19088123,19088123,FALSE,19086191,-90.80754852,29.98933601,3.579999924,10,0,3600,0.200000003,3348,0.039999999,9.99999974737875e-06,0.084573694,230.0245056,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,675760,0.079999998,1150.122559,383.374176,,,153.3496704,12.96934803
19,19086191,19086191,FALSE,19086189,-90.78421783,30.00899124,3.579999924,10,0,3600,0.200000003,2848,0.039999999,9.99999974737875e-06,0.084573679,230.0245972,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585011,0.079999998,1150.122925,383.3743286,,,153.3497314,12.96935091
20,19086189,19086189,FALSE,19086187,-90.73978424,30.01455307,3.579999924,10,0,3600,0.200000003,6104,0.039999999,9.99999974737875e-06,0.084573641,230.0248108,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539991,0.079999998,1150.124023,383.3746643,,,153.3498535,12.96935552
21,19086187,19086187,FALSE,19086185,-90.68528748,30.0385952,3.579999924,10,0,3600,0.200000003,6151,0.039999999,9.99999974737875e-06,0.084573619,230.0249634,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539992,0.079999998,1150.124878,383.374939,,,153.3499756,12.96936242
22,19086185,19086185,FALSE,19086183,-90.63128662,30.03774452,3.579999924,10,0,3600,0.200000003,6109,0.039999999,9.99999974737875e-06,0.084573582,230.0251923,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539994,0.079999998,1150.125977,383.3753357,,,153.3501434,12.9693709
23,19086183,19086183,FALSE,19086179,-90.57679749,30.05148315,3.579999924,10,0,3600,0.200000003,6097,0.039999999,9.99999974737875e-06,0.084573552,230.0253448,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,650066,0.079999998,1150.126709,383.3755798,,,153.350235,12.96937407
24,19086179,19086179,FALSE,19086195,-90.51493073,30.04986572,3.579999924,10,0,3600,0.200000003,6117,0.039999999,9.99999974737875e-06,0.084573522,230.0255432,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539995,0.079999998,1150.127686,383.375885,,,153.3503418,12.96937854
25,19086195,19086195,FALSE,22795715,-90.47370911,30.03154564,3.579999924,10,0,3600,0.200000003,4874,0.039999999,9.99999974737875e-06,0.084573485,230.0257874,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,679133,0.079999998,1150.128906,383.3763123,,,153.3505249,12.96938831
26,22795715,22795715,FALSE,22799299,-90.47257996,30.00410843,3.579999924,10,0,3600,0.200000003,1224,0.039999999,9.99999974737875e-06,0.084573478,230.0258179,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,608198,0.079999998,1150.12915,383.3763733,,,153.3505554,12.96938975
27,22799299,22799299,FALSE,22799303,-90.46064758,29.9976387,3.579999924,10,0,3600,0.200000003,1602,0.039999999,9.99999974737875e-06,0.08457347,230.0258636,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585015,0.079999998,1150.129272,383.3764343,,,153.3505707,12.9693899
28,22799303,22799303,FALSE,22799305,-90.40877533,29.99085236,3.579999924,10,0,3600,0.200000003,9044,0.039999999,9.99999974737875e-06,0.084573425,230.0261383,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,608200,0.079999998,1150.130737,383.3768921,,,153.3507538,12.96939853
29,22799305,22799305,FALSE,22799307,-90.27140045,29.96886063,3.579999924,10,0,3600,0.200000003,27760,0.039999999,9.99999974737875e-06,0.084573306,230.026886,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,673789,0.079999998,1150.134399,383.3781433,,,153.3512573,12.96942283
30,22799307,22799307,FALSE,22799309,-90.13834381,29.92144585,3.579999924,10,0,3600,0.200000003,12374,0.039999999,9.99999974737875e-06,0.084573254,230.0272064,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,655218,0.079999998,1150.135986,383.3786621,,,153.3514557,12.96943161
