18.04.2011,29.39,732000,8.957634867,20727.932
19.04.2011,29.4,732000,8.960682719,20727.932
20.04.2011,29.43,733000,8.969826272,20756.24885
21.04.2011,29.55,737000,9.006400488,20869.51624
22.04.2011,29.68,743000,9.046022554,21039.41732
23.04.2011,29.81,751000,9.085644621,21265.9521
24.04.2011,30.04,761000,9.1557452,21549.12057
25.04.2011,30.33,774000,9.244132886,21917.23958
26.04.2011,30.74,794000,9.369094788,22483.57652
27.04.2011,31.21,812000,9.512343798,22993.27976
28.04.2011,31.56,827000,9.619018592,23418.03247
29.04.2011,31.92,844000,9.728741237,23899.41887
30.04.2011,32.47,870000,9.896373057,24635.65689
1.05.2011,33.24,903000,10.1310576,25570.11284
2.05.2011,34.04,939000,10.37488571,26589.51933
3.05.2011,34.93,980000,10.64614447,27750.51006
4.05.2011,35.89,1020000,10.93873819,28883.18394
5.05.2011,36.87,1060000,11.23742761,30015.85782
6.05.2011,37.67,1100000,11.48125571,31148.5317
7.05.2011,38.55,1130000,11.74946663,31998.03711
8.05.2011,39.57,1190000,12.06034746,33697.04793
9.05.2011,40.8,1240000,12.43523316,35112.89028
10.05.2011,41.84,1290000,12.75220969,36528.73263
11.05.2011,42.7,1320000,13.0143249,37378.23804
12.05.2011,43.33,1350000,13.20633953,38227.74345
13.05.2011,43.96,1370000,13.39835416,38794.08039
14.05.2011,44.41,1400000,13.53550747,39643.5858
15.05.2011,44.72,1410000,13.62999086,39926.75427
16.05.2011,44.89,1420000,13.68180433,40209.92274
17.05.2011,45.1,1420000,13.7458092,40209.92274
18.05.2011,45.25,1430000,13.79152697,40493.09121
19.05.2011,45.2,1430000,13.77628772,40493.09121
20.05.2011,45.08,1420000,13.7397135,40209.92274
21.05.2011,45.01,1420000,13.71837854,40209.92274
22.05.2011,44.9,1410000,13.68485218,39926.75427
23.05.2011,44.69,1410000,13.6208473,39926.75427
24.05.2011,44.54,1400000,13.57512953,39643.5858
25.05.2011,44.34,1390000,13.51417251,39360.41733
26.05.2011,44.32,1380000,13.50807681,39077.24886
27.05.2011,44.34,1390000,13.51417251,39360.41733
28.05.2011,44.19,1380000,13.46845474,39077.24886
