,cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt - m,So,laterals / gages,nodes,RM
35,FALSE,FALSE,40,19086947,19086949,30.294182,-91.23005,230.02177,0.08457413,0.04,0.08,383.36963,1150.1089,5802.5,3.58,1.00E-05,,156049.5,209.3146053
36,FALSE,FALSE,41,19086949,19088289,30.2587,-91.11234,230.0223,0.08457405,0.04,0.08,383.37048,1150.1115,7049,3.58,1.00E-05,,161852,205.7083282
37,FALSE,FALSE,41,19086949,19088289,30.2587,-91.11234,230.0223,0.08457405,0.04,0.08,383.37048,1150.1115,7049,3.58,1.00E-05,,168901,201.3273462
38,FALSE,FALSE,43,19086953,25732008,30.19891,-91.1654,230.0224,0.08457404,0.04,0.08,383.37067,1150.1119,3815,3.58,1.00E-05,,175950,196.9463642
39,FALSE,FALSE,44,25732008,19086167,30.212181,-91.07141,230.02315,0.08457392,0.04,0.08,383.3719,1150.1157,9854.5,3.58,1.00E-05,,179765,194.5753263
40,FALSE,FALSE,44,25732008,19086167,30.212181,-91.07141,230.02315,0.08457392,0.04,0.08,383.3719,1150.1157,9854.5,3.58,1.00E-05,,189619.5,188.4507147
41,FALSE,FALSE,45,19086167,25732010,30.151276,-90.99944,230.0232,0.0845739,0.04,0.08,383.37198,1150.116,1458,3.58,1.00E-05,,199474,182.3261032
42,FALSE,FALSE,46,25732010,25732012,30.134315,-91.013214,230.02332,0.08457389,0.04,0.08,383.3722,1150.1166,3433,3.58,1.00E-05,,200932,181.4199503
43,FALSE,FALSE,48,25732014,19086169,30.1143,-91.017296,230.0235,0.08457386,0.04,0.08,383.3725,1150.1176,4057,3.58,1.00E-05,,204365,179.2863269
44,FALSE,FALSE,50,19086175,19086171,30.108847,-90.972786,230.02368,0.08457383,0.04,0.08,383.3728,1150.1184,5242,3.58,1.00E-05,,208422,176.764885
45,FALSE,FALSE,51,19086171,19086177,30.135998,-90.93991,230.02385,0.0845738,0.04,0.08,383.37308,1150.1193,6098,3.58,1.00E-05,,213664,173.5069608
46,FALSE,FALSE,52,19086177,19086181,30.094728,-90.91179,230.024,0.084573776,0.04,0.08,383.37332,1150.12,6071,3.58,1.00E-05,,219762,169.7170292
47,FALSE,FALSE,53,19086181,19086193,30.063501,-90.87185,230.02417,0.084573746,0.04,0.08,383.3736,1150.1208,6136,3.58,1.00E-05,,225833,165.9438782
48,FALSE,FALSE,54,19086193,19088125,30.027403,-90.836235,230.02432,0.08457372,0.04,0.08,383.37387,1150.1216,6101,3.58,1.00E-05,,231969,162.1303294
49,FALSE,FALSE,55,19088125,19088123,29.989168,-90.82834,230.0244,0.08457371,0.04,0.08,383.374,1150.122,2484,3.58,1.00E-05,,238070,158.3385333
50,FALSE,FALSE,56,19088123,19086191,29.989336,-90.80755,230.0245,0.08457369,0.04,0.08,383.37418,1150.1226,3348,3.58,1.00E-05,,240554,156.7947172
51,FALSE,FALSE,57,19086191,19086189,30.008991,-90.78422,230.0246,0.08457368,0.04,0.08,383.37433,1150.1229,2848,3.58,1.00E-05,,243902,154.7139217
52,FALSE,FALSE,58,19086189,19086187,30.014553,-90.739784,230.02481,0.08457364,0.04,0.08,383.37466,1150.124,6104,3.58,1.00E-05,,246750,152.9438782
53,FALSE,FALSE,59,19086187,19086185,30.038595,-90.68529,230.02496,0.08457362,0.04,0.08,383.37494,1150.1249,6151,3.58,1.00E-05,,252854,149.1502175
54,FALSE,FALSE,60,19086185,19086183,30.037745,-90.63129,230.02519,0.08457358,0.04,0.08,383.37534,1150.126,6109,3.58,1.00E-05,,259005,145.3273462
55,FALSE,FALSE,61,19086183,19086179,30.051483,-90.5768,230.02534,0.08457355,0.04,0.08,383.37558,1150.1267,6097,3.58,1.00E-05,,265114,141.530578
56,FALSE,FALSE,62,19086179,19086195,30.049866,-90.51493,230.02554,0.08457352,0.04,0.08,383.3759,1150.1277,6117,3.58,1.00E-05,,271211,137.7412679
57,FALSE,FALSE,63,19086195,22795715,30.031546,-90.47371,230.02579,0.084573485,0.04,0.08,383.3763,1150.1289,4874,3.58,1.00E-05,,277328,133.9395277
58,FALSE,FALSE,64,22795715,22799299,30.004108,-90.47258,230.02582,0.08457348,0.04,0.08,383.37637,1150.1292,1224,3.58,1.00E-05,,282202,130.910317
59,FALSE,FALSE,65,22799299,22799303,29.997639,-90.46065,230.02586,0.08457347,0.04,0.08,383.37643,1150.1293,1602,3.58,1.00E-05,Bonnet Carre Spillway (RM 127),283426,130.149596
60,FALSE,FALSE,66,22799303,22799305,29.990852,-90.408775,230.02614,0.084573425,0.04,0.08,383.3769,1150.1307,9044,3.58,1.00E-05,,285028,129.1539466
61,FALSE,FALSE,67,22799305,22799307,29.96886,-90.2714,230.02689,0.084573306,0.04,0.08,383.37814,1150.1344,6940,3.58,1.00E-05,Davis Pond (RM 123),294072,123.533064
62,FALSE,FALSE,67,22799305,22799307,29.96886,-90.2714,230.02689,0.084573306,0.04,0.08,383.37814,1150.1344,6940,3.58,1.00E-05,,301012,119.219826
63,FALSE,FALSE,67,22799305,22799307,29.96886,-90.2714,230.02689,0.084573306,0.04,0.08,383.37814,1150.1344,6940,3.58,1.00E-05,,307952,114.9065879
64,FALSE,FALSE,67,22799305,22799307,29.96886,-90.2714,230.02689,0.084573306,0.04,0.08,383.37814,1150.1344,6940,3.58,1.00E-05,,314892,110.5933499
65,FALSE,FALSE,68,22799307,22799309,29.921446,-90.13834,230.0272,0.084573254,0.04,0.08,383.37866,1150.136,6187,3.58,1.00E-05,,321832,106.2801119
66,FALSE,FALSE,68,22799307,22799309,29.921446,-90.13834,230.0272,0.084573254,0.04,0.08,383.37866,1150.136,6187,3.58,1.00E-05,,328019,102.4348664
67,FALSE,FALSE,69,22799309,22814383,29.943872,-90.05784,230.02739,0.084573224,0.04,0.08,383.37897,1150.137,8968,3.58,3.00E-05,New Orleans (RM 102),334206,98.58962088
68,FALSE,FALSE,70,22814383,22814607,29.946697,-90.013985,230.02803,0.08457312,0.04,0.08,383.38004,1150.1401,3251,3.35,8.00E-05,,343174,93.01597265
69,FALSE,FALSE,71,22814607,22798749,29.92895,-89.98154,230.02814,0.084573105,0.04,0.08,383.38022,1150.1406,4116,3.09,1.00E-05,,346425,90.99546302
