link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
19085493,19088331,30.585714,-91.284096,1.7756224,0.7230808,0.06,0.12,2.9593706,8.878112,60.0,,12
19053404,19053406,30.619862,-91.204315,5.1121035,0.45349967,0.06,0.12,8.520172,25.560516,2068.0,,12
19055820,19085485,30.652624,-91.30335,2.8443015,0.5873691,0.06,0.12,4.7405024,14.221508,638.0,,12
19053434,19053738,30.598513,-91.27629,4.7150564,0.46996757,0.055,0.11,7.8584275,30.0,354.0,,12
19085481,19085485,30.651127,-91.30384,230.0132,0.08457553,0.04,0.08,383.35532,1150.066,442.0,,12
19085491,19088331,30.589695,-91.28812,1.9187636,0.69876647,0.06,0.12,3.1979394,9.593818,1261.0,,12
19053392,19053404,30.637894,-91.20244,2.5043573,0.62129664,0.06,0.12,4.173929,12.521787,4210.0,,13
19085287,19085493,30.592049,-91.29146,1.7756224,0.7230808,0.06,0.12,2.9593706,8.878112,2542.0,,13
19085537,19085289,30.579966,-91.30822,1.1462269,0.877093,0.06,0.12,1.9103782,5.7311344,528.0,,13
19053394,19053404,30.632612,-91.22162,4.8500648,0.46415046,0.06,0.12,8.083442,24.250324,3916.0,,13
19053672,19055820,30.65713,-91.29641,2.7129924,0.5997457,0.06,0.12,4.5216537,13.564961,1288.0,,13
19053430,19053434,30.601194,-91.267296,4.31181,0.4888747,0.055,0.11,7.1863503,30.0,2986.0,,13
19053428,19053434,30.606127,-91.279366,2.8546317,0.5864304,0.06,0.12,4.7577195,14.273159,1654.0,,13
19053734,19085481,30.654163,-91.30578,14.499725,0.2863056,0.05,0.1,24.166208,72.49863,554.0,,13
19085559,19085481,30.662725,-91.338486,229.99014,0.08457927,0.04,0.08,383.3169,1149.9507,7305.0,,13
19085285,19085491,30.599417,-91.29096,1.5786633,0.76157695,0.06,0.12,2.6311057,7.8933167,968.0,,13
19053372,19053672,30.666363,-91.28498,2.5597262,0.6153314,0.06,0.12,4.2662106,12.798632,3221.0,,14
19053382,19053394,30.650501,-91.22661,4.378708,0.48556536,0.06,0.12,7.297847,21.893541,724.0,,14
19053422,19053428,30.611162,-91.275085,1.2767907,0.83632857,0.06,0.12,2.1279845,6.3839536,485.0,,14
19053414,19053430,30.615795,-91.258194,2.755232,0.5956718,0.06,0.12,4.5920534,13.77616,1652.0,,14
19053416,19053430,30.625153,-91.26919,3.569161,0.53139234,0.06,0.12,5.9486017,17.845804,3362.0,,14
19053420,19053428,30.612772,-91.27749,2.4836512,0.6235765,0.06,0.12,4.1394186,12.418256,158.0,,14
19053732,19053734,30.668451,-91.305565,14.498434,0.28631684,0.05,0.1,24.164057,72.49217,2611.0,,14
19085479,19085559,30.736948,-91.35971,229.98973,0.08457933,0.04,0.08,383.31622,1149.9486,9058.0,,14
19085487,19085285,30.604235,-91.29277,1.4182242,0.7984508,0.06,0.12,2.363707,7.091121,216.0,,14
19053368,19053372,30.674189,-91.26511,1.7777759,0.7226942,0.06,0.12,2.9629598,8.88888,1351.0,,15
19053374,19053382,30.661163,-91.234474,3.575821,0.53095543,0.06,0.12,5.9597015,17.879105,3647.0,,15
19053376,19053382,30.665257,-91.217255,3.2901254,0.5508235,0.06,0.12,5.4835424,16.450626,3996.0,,15
19053650,19053416,30.636963,-91.25522,2.018574,0.68330705,0.06,0.12,3.36429,10.092871,2400.0,,15
19053706,19053422,30.609337,-91.27521,0.9628726,0.94720393,0.06,0.12,1.6047877,4.814363,261.0,,15
19053400,19053414,30.619776,-91.25122,2.4970686,0.6220961,0.06,0.12,4.1617813,12.485343,91.0,,15
19053386,19053416,30.644161,-91.26591,2.923473,0.5802976,0.06,0.12,4.872455,14.617365,1305.0,,15
19053676,19053420,30.613964,-91.280334,2.4751124,0.6245247,0.06,0.12,4.1251874,12.375563,526.0,,15
19055822,19053732,30.680334,-91.308464,5.324447,0.44542974,0.055,0.11,8.874079,30.0,186.0,,15
19053670,19085479,30.759247,-91.396675,11.67691,0.31500286,0.055,0.11,19.461517,58.384552,689.0,,15
19053728,19053732,30.688046,-91.31322,14.186752,0.28907517,0.05,0.1,23.644588,70.93376,2325.0,,15
19085457,19085479,30.75778,-91.3954,229.97723,0.08458136,0.04,0.08,383.29538,1149.8862,330.0,,15
19088333,19085487,30.607311,-91.29518,1.3825786,0.8074682,0.06,0.12,2.3042977,6.912893,648.0,,15
19053384,19053386,30.647755,-91.27223,1.9428471,0.6949317,0.06,0.12,3.2380786,9.714235,1868.0,,16
19053652,19053400,30.622532,-91.23747,1.9451722,0.6945651,0.06,0.12,3.2419536,9.725861,2889.0,,16
19053654,19053400,30.62411,-91.24965,1.7098325,0.7352259,0.06,0.12,2.849721,8.549163,1615.0,,16
19053380,19053386,30.651983,-91.26172,2.368207,0.6368092,0.06,0.12,3.9470115,11.841035,690.0,,16
19053710,19085457,30.759552,-91.398346,3.282293,0.55140305,0.06,0.12,5.4704885,16.411467,507.0,,16
19053418,19053676,30.614542,-91.28381,2.4068646,0.63227636,0.06,0.12,4.0114408,12.034323,248.0,,16
19053730,19055822,30.681261,-91.3087,5.319986,0.44559452,0.055,0.11,8.866643,30.0,23.0,,16
19053724,19053728,30.696259,-91.31993,7.6631813,0.37932718,0.055,0.11,12.771969,50.0,217.0,,16
19055818,19053670,30.761793,-91.39892,11.674515,0.31503135,0.055,0.11,19.457525,58.372574,12.0,,16
19053726,19053728,30.70036,-91.31107,13.316342,0.29726398,0.05,0.1,22.193905,70.0,3103.0,,16
19088329,19085457,30.754604,-91.405426,229.97694,0.08458141,0.04,0.08,383.2949,1149.8846,1742.0,,16
19085483,19088333,30.610552,-91.29957,1.0264165,0.9208709,0.06,0.12,1.7106942,5.1320825,492.0,,16
19053378,19053380,30.65687,-91.25442,1.5006818,0.77878946,0.06,0.12,2.5011363,7.503409,1385.0,,17
19053618,19053710,30.771465,-91.40874,3.2667074,0.5525621,0.06,0.12,5.4445124,16.333538,3216.0,,17
19053674,19053418,30.615643,-91.28533,2.388121,0.634461,0.06,0.12,3.9802015,11.940604,134.0,,17
19085459,19088329,30.74766,-91.41451,1.6632018,0.7442498,0.06,0.12,2.772003,8.316009,680.0,,17
19053366,19053730,30.690575,-91.30255,5.3194733,0.44561344,0.055,0.11,8.865788,30.0,3666.0,,17
19053356,19053724,30.703749,-91.327995,7.6628747,0.37933388,0.055,0.11,12.771458,50.0,2788.0,,17
19053668,19055818,30.765789,-91.39769,11.674515,0.31503135,0.055,0.11,19.457525,58.372574,928.0,,17
19053736,19053726,30.715654,-91.29307,13.296126,0.2974633,0.05,0.1,22.16021,70.0,3572.0,,17
19085461,19088329,30.742691,-91.42712,229.97685,0.08458143,0.04,0.08,383.29474,1149.8843,3153.0,,17
19053402,19053674,30.616282,-91.28617,2.3646796,0.6372281,0.06,0.12,3.9411325,11.823398,84.0,,18
19085545,19085459,30.74438,-91.41459,1.5221578,0.7739226,0.06,0.12,2.5369296,7.610789,32.0,,18
19053364,19053366,30.686775,-91.27837,3.8305402,0.515079,0.06,0.12,6.3842335,19.1527,3338.0,,18
19053716,19053736,30.729637,-91.29237,0.7444068,1.0610814,0.06,0.12,1.2406781,3.7220342,103.0,,18
19053358,19053366,30.70786,-91.27789,4.2050896,0.4943101,0.06,0.12,7.0084825,21.025448,5510.0,,18
19053350,19053356,30.72049,-91.3353,5.1822276,0.45078203,0.055,0.11,8.637047,30.0,1689.0,,18
19085463,19085461,30.737753,-91.444374,6.8206673,0.3993279,0.055,0.11,11.367779,34.103336,432.0,,18
19053352,19053356,30.721546,-91.34264,6.6079116,0.40495002,0.055,0.11,11.0131855,33.03956,3036.0,,18
19053302,19053668,30.770298,-91.39617,11.670534,0.31507877,0.055,0.11,19.45089,58.35267,347.0,,18
19053720,19053736,30.731726,-91.29121,13.227221,0.29814595,0.05,0.1,22.045366,70.0,585.0,,18
19085465,19085461,30.735767,-91.45051,229.97427,0.084581845,0.04,0.08,383.29047,1149.8713,1628.0,,18
19053336,19053352,30.742506,-91.345184,1.8684735,0.7070022,0.06,0.12,3.1141226,9.342368,2419.0,,19
19053342,19053350,30.73612,-91.3301,1.6094236,0.75512064,0.06,0.12,2.6823728,8.047118,2749.0,,19
19053346,19053358,30.731983,-91.2717,2.1829526,0.66010964,0.06,0.12,3.6382544,10.914763,2827.0,,19
19053704,19053402,30.617422,-91.28578,2.3418586,0.6399602,0.06,0.12,3.9030976,11.709293,208.0,,19
19085531,19085545,30.743204,-91.41321,1.5221578,0.7739226,0.06,0.12,2.5369296,7.610789,347.0,,19
19053290,19053302,30.774672,-91.393715,2.5883393,0.6123211,0.06,0.12,4.3138986,12.941696,1386.0,,19
19053360,19053364,30.701694,-91.26591,2.4572058,0.6265285,0.06,0.12,4.095343,12.286029,2031.0,,19
19053362,19053364,30.69126,-91.262054,2.8803856,0.58411133,0.06,0.12,4.8006425,14.401928,907.0,,19
19053644,19053716,30.730196,-91.29051,0.7203481,1.0765728,0.06,0.12,1.2005801,3.6017406,275.0,,19
19053344,19053358,30.726,-91.25835,3.6155941,0.5283707,0.06,0.12,6.0259905,18.07797,1838.0,,19
19053340,19053350,30.728277,-91.32346,5.0472856,0.45605987,0.055,0.11,8.412143,30.0,2603.0,,19
938070163,19085463,30.752222,-91.44456,6.8172994,0.39941493,0.055,0.11,11.362165,34.086494,2885.0,,19
19053338,19053352,30.736053,-91.35076,6.452157,0.409234,0.055,0.11,10.753595,32.260784,756.0,,19
19053292,19053302,30.773905,-91.40117,11.60151,0.3159044,0.055,0.11,19.33585,58.007553,1184.0,,19
19053718,19053720,30.73388,-91.28699,13.215066,0.2982669,0.05,0.1,22.02511,70.0,418.0,,19
19085467,19085465,30.743473,-91.475426,229.97401,0.08458188,0.04,0.08,383.29,1149.8701,3590.0,,19
19085469,19085465,30.734201,-91.4609,3.0709403,0.56783456,0.06,0.12,5.1182337,15.354701,484.0,,19
19053274,19053290,30.786911,-91.389694,1.7320881,0.7310431,0.06,0.12,2.8868134,8.66044,2472.0,,20
19053276,19053290,30.78868,-91.39756,1.746198,0.72843117,0.06,0.12,2.91033,8.73099,2298.0,,20
19053278,19053292,30.786777,-91.410995,1.841882,0.71148735,0.06,0.12,3.0698032,9.20941,2686.0,,20
19053354,19053360,30.709913,-91.25536,1.629313,0.75104,0.06,0.12,2.7155216,8.1465645,1264.0,,20
19053634,19053338,30.755932,-91.35164,2.226258,0.6544136,0.06,0.12,3.7104301,11.13129,5277.0,,20
19053646,19053344,30.723778,-91.238075,2.398989,0.6331913,0.06,0.12,3.998315,11.994946,3452.0,,20
19053648,19053362,30.69927,-91.246376,2.6980326,0.60121053,0.06,0.12,4.496721,13.490163,3701.0,,20
19053708,19053644,30.730719,-91.289276,0.28472525,1.6213952,0.06,0.12,0.47454208,1.4236263,215.0,,20
19053714,19085467,30.746943,-91.49525,4.798734,0.46633434,0.06,0.12,7.9978905,23.993671,523.0,,20
19053330,19053340,30.739895,-91.31518,3.227388,0.555522,0.06,0.12,5.3789797,16.136938,883.0,,20
19053642,19053344,30.732544,-91.250595,2.991543,0.5744347,0.06,0.12,4.985905,14.957715,1542.0,,20
19085471,19085469,30.73262,-91.46393,1.2935208,0.83153903,0.06,0.12,2.155868,6.467604,233.0,,20
19053332,19053340,30.740646,-91.32328,4.381324,0.48543745,0.055,0.11,7.3022065,30.0,1122.0,,20
938070071,938070163,30.768044,-91.46264,4.7683225,0.46764416,0.06,0.12,7.947204,23.841612,3820.0,,20
938070164,938070163,30.770031,-91.44776,5.602025,0.43555424,0.055,0.11,9.336708,30.0,1418.0,,20
19053636,19053338,30.749529,-91.35715,6.344314,0.4122885,0.055,0.11,10.573856,31.72157,2657.0,,20
19053280,19053292,30.80206,-91.43652,11.580355,0.3161589,0.055,0.11,19.30059,57.90177,10241.0,,20
19053722,19053718,30.744287,-91.28707,13.213971,0.2982778,0.05,0.1,22.023285,70.0,1980.0,,20
19088297,19085467,30.743513,-91.50206,229.97304,0.084582046,0.04,0.08,383.2884,1149.8651,1668.0,,20
19088305,19085469,30.733423,-91.46508,2.961715,0.5769799,0.06,0.12,4.9361916,14.808575,364.0,,20
19053166,19053280,30.841846,-91.4214,2.1155615,0.6693054,0.06,0.12,3.525936,10.577807,3855.0,,21
19053328,19053330,30.742403,-91.3059,1.7716093,0.723803,0.06,0.12,2.9526823,8.858047,2062.0,,21
19053632,19053332,30.754108,-91.33352,1.9387003,0.6955871,0.06,0.12,3.231167,9.693501,2801.0,,21
19053638,19053714,30.756308,-91.4964,4.786183,0.46687344,0.06,0.12,7.9769716,23.930916,4549.0,,21
19053640,19053642,30.749151,-91.251724,2.0470004,0.6791044,0.06,0.12,3.4116673,10.235002,3134.0,,21
19053334,19053642,30.737991,-91.24486,2.4537582,0.6269167,0.06,0.12,4.089597,12.268791,443.0,,21
19053628,19053330,30.754583,-91.31316,2.954854,0.57757056,0.06,0.12,4.9247565,14.77427,3309.0,,21
19085279,19085471,30.730768,-91.46282,1.2644049,0.83993304,0.06,0.12,2.1073415,6.322025,324.0,,21
19053612,938070164,30.77955,-91.45212,3.1398318,0.56230384,0.06,0.12,5.2330527,15.699159,1278.0,,21
19053620,938070071,30.790556,-91.489914,4.4292555,0.4831128,0.06,0.12,7.382092,22.146276,6316.0,,21
19053630,19053332,30.756563,-91.324005,4.186813,0.49526092,0.055,0.11,6.9780216,30.0,2938.0,,21
19053614,938070164,30.788593,-91.46849,5.174012,0.45109767,0.055,0.11,8.623353,30.0,4362.0,,21
19053316,19053636,30.769104,-91.35545,6.046917,0.42111436,0.055,0.11,10.078195,30.234583,2234.0,,21
19053318,19053636,30.768007,-91.35981,1.3565754,0.81426036,0.06,0.12,2.260959,6.782877,2140.0,,21
19053164,19053280,30.836031,-91.407486,11.391499,0.3184607,0.055,0.11,18.98583,56.957493,1003.0,,21
19053326,19053722,30.756245,-91.27941,13.161805,0.29879877,0.05,0.1,21.936342,70.0,1380.0,,21
19085477,19088297,30.73611,-91.573494,229.97299,0.08458205,0.04,0.08,383.28833,1149.865,13086.0,,21
19085547,19088305,30.73394,-91.48207,1.7068446,0.7357935,0.06,0.12,2.8447409,8.534223,2885.0,,21
19085473,19088305,30.732553,-91.46821,2.7303345,0.5980621,0.06,0.12,4.5505576,13.651672,306.0,,21
19053304,19053628,30.77406,-91.305626,1.750958,0.7275568,0.06,0.12,2.9182632,8.75479,2435.0,,22
19053306,19053628,30.778702,-91.31581,1.9366205,0.6959166,0.06,0.12,3.2277007,9.683102,3142.0,,22
19053608,19053612,30.789177,-91.45585,2.528464,0.61867636,0.06,0.12,4.214107,12.642321,1983.0,,22
19053624,19053334,30.74465,-91.23504,2.1153421,0.66933596,0.06,0.12,3.5255704,10.576711,2844.0,,22
19053626,19053334,30.745974,-91.24053,1.5062126,0.7775265,0.06,0.12,2.5103543,7.531063,1923.0,,22
19085533,19085279,30.730425,-91.45716,1.2058403,0.8576919,0.06,0.12,2.009734,6.0292015,801.0,,22
19053286,19053612,30.777775,-91.44191,2.337712,0.6404608,0.06,0.12,3.8961866,11.68856,2947.0,,22
19053308,19053630,30.77657,-91.32474,3.2405655,0.5545243,0.06,0.12,5.4009423,16.202827,3275.0,,22
19053310,19053630,30.767178,-91.33214,3.115714,0.56421995,0.06,0.12,5.192857,15.57857,715.0,,22
938070070,19053620,30.82881,-91.48027,3.2160506,0.55638516,0.06,0.12,5.3600845,16.080254,3524.0,,22
938070073,19053614,30.815489,-91.46742,4.415896,0.48375705,0.06,0.12,7.359827,22.079481,3397.0,,22
19085453,19085477,30.77736,-91.570526,5.0607495,0.45552418,0.06,0.12,8.434583,25.303747,371.0,,22
938070072,19053614,30.806671,-91.47068,3.31405,0.54906565,0.06,0.12,5.523417,16.57025,1859.0,,22
19053314,19053326,30.763596,-91.27571,4.30492,0.48921973,0.06,0.12,7.174867,21.524601,1327.0,,22
19053282,19053316,30.782015,-91.36401,6.0096154,0.42226553,0.055,0.11,10.016026,30.048077,1487.0,,22
19053140,19053164,30.847033,-91.41259,7.8892117,0.37449354,0.055,0.11,13.148686,39.446056,2040.0,,22
19053138,19053164,30.842047,-91.40545,9.872805,0.33921158,0.055,0.11,16.454674,50.0,421.0,,22
19053322,19053326,30.760042,-91.26385,12.986868,0.30056784,0.05,0.1,21.64478,70.0,2717.0,,22
19085455,19085477,30.801857,-91.53575,229.97153,0.084582284,0.04,0.08,383.2859,1149.8577,10289.0,,22
19085281,19085473,30.730465,-91.48319,2.7131276,0.5997325,0.06,0.12,4.521879,13.565638,2750.0,,22
19053120,19053140,30.85347,-91.4276,1.8020365,0.7183855,0.06,0.12,3.0033944,9.010182,3256.0,,23
19053258,19053308,30.793272,-91.31655,1.892991,0.70294774,0.06,0.12,3.154985,9.464954,2093.0,,23
19053260,19053308,30.805777,-91.32589,2.7101488,0.60002327,0.06,0.12,4.5169144,13.550744,4938.0,,23
19053264,19053282,30.794107,-91.35755,1.7121496,0.7347868,0.06,0.12,2.8535826,8.560748,2366.0,,23
19053284,19053286,30.777617,-91.429405,1.4196522,0.79809636,0.06,0.12,2.3660872,7.0982614,1350.0,,23
19053296,19053310,30.777605,-91.34012,1.9920624,0.68730426,0.06,0.12,3.3201041,9.960312,2561.0,,23
938070161,938070070,30.842989,-91.48454,1.5547062,0.7667322,0.06,0.12,2.591177,7.773531,1351.0,,23
19053132,19053138,30.84383,-91.40348,2.2647266,0.64948606,0.06,0.12,3.7745445,11.323633,301.0,,23
19053188,938070073,30.834913,-91.44622,2.5406592,0.61736447,0.06,0.12,4.234432,12.703296,2911.0,,23
19053294,19053310,30.776402,-91.33268,2.7284627,0.59824306,0.06,0.12,4.547438,13.642314,2057.0,,23
19053300,19053314,30.777561,-91.28999,2.1604497,0.6631342,0.06,0.12,3.6007497,10.802249,3598.0,,23
19085425,19085455,30.849503,-91.51859,1.9597739,0.69227725,0.06,0.12,3.2662897,9.798869,570.0,,23
938070162,938070070,30.835821,-91.49228,2.495956,0.62221843,0.06,0.12,4.1599264,12.479779,1191.0,,23
19053604,938070072,30.810022,-91.44997,3.0835452,0.5668093,0.06,0.12,5.139242,15.4177265,2860.0,,23
19085391,19085453,30.781013,-91.56997,5.055017,0.45575202,0.06,0.12,8.425028,25.275084,473.0,,23
19053298,19053314,30.780436,-91.275604,4.045417,0.5028246,0.06,0.12,6.7423615,20.227083,3599.0,,23
19053288,19053322,30.785898,-91.25615,4.0488396,0.502637,0.06,0.12,6.748066,20.244198,3945.0,,23
19053266,19053282,30.796804,-91.368,5.928418,0.42480737,0.055,0.11,9.880696,30.0,2742.0,,23
19053112,19053140,30.854809,-91.41709,7.820983,0.37593138,0.055,0.11,13.034971,39.104916,682.0,,23
19053128,19053138,30.852734,-91.404175,9.827149,0.33990595,0.055,0.11,16.378582,50.0,2077.0,,23
19053610,19053322,30.782118,-91.25144,12.772654,0.30278143,0.05,0.1,21.287756,70.0,3336.0,,23
938070167,19085455,30.860008,-91.51727,229.9709,0.08458239,0.04,0.08,383.28482,1149.8545,2860.0,,23
19085475,19085281,30.732922,-91.496796,2.60029,0.6110779,0.06,0.12,4.333817,13.001451,142.0,,23
19053092,19053112,30.866062,-91.4171,1.6030625,0.7564411,0.06,0.12,2.6717708,8.015312,2576.0,,24
19053106,19053128,30.864445,-91.38424,2.1913786,0.65898865,0.06,0.12,3.6522977,10.956893,3872.0,,24
19053124,19053188,30.8487,-91.441345,1.5066365,0.77743,0.06,0.12,2.5110607,7.533182,1796.0,,24
19053126,19053188,30.852936,-91.45078,1.8631579,0.70789146,0.06,0.12,3.1052632,9.315789,2561.0,,24
19053130,19053132,30.85103,-91.39222,1.9569725,0.6927143,0.06,0.12,3.2616208,9.7848625,2724.0,,24
19053158,19053132,30.840605,-91.39395,1.5547062,0.7667322,0.06,0.12,2.591177,7.773531,1842.0,,24
19053228,19053604,30.817806,-91.4393,1.7768536,0.72285974,0.06,0.12,2.9614227,8.884268,2890.0,,24
19053242,19053288,30.809162,-91.26358,2.0314615,0.68139124,0.06,0.12,3.3857691,10.157308,2682.0,,24
19053250,19053298,30.805386,-91.28205,2.0233657,0.6825927,0.06,0.12,3.3722763,10.116829,3578.0,,24
19053272,19053294,30.800209,-91.34133,2.5597262,0.6153314,0.06,0.12,4.2662106,12.798632,4484.0,,24
19053594,938070162,30.843876,-91.49747,2.3747058,0.63603973,0.06,0.12,3.957843,11.8735285,2088.0,,24
19053702,19053300,30.789309,-91.302666,0.94223785,0.95630014,0.06,0.12,1.5703964,4.7111893,464.0,,24
