xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,trapDepth,my_id,Locs,hecLoc,elevs,#VALUE!,,
17,19086177,19086177,FALSE,19086181,-90.91178894,30.09472847,3.579999924,10,0,3600,0.200000003,6071,0.039999999,1.00E-05,0.084573776,230.0240021,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,666404,0.079999998,1150.119995,383.3733215,12.96933092,14,95413,154224,1.542239961,24.99806937,,
18,19086181,19086181,FALSE,19086193,-90.87184906,30.06350136,3.579999924,10,0,3600,0.200000003,6136,0.039999999,1.00E-05,0.084573746,230.0241699,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,677533,0.079999998,1150.12085,383.3735962,12.96933538,15,101484,148153,1.481529963,23.45582941,,
19,19086193,19086193,FALSE,19088125,-90.83623505,30.02740288,3.579999924,10,0,3600,0.200000003,6101,0.039999999,1.00E-05,0.084573723,230.0243225,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,681926,0.079999998,1150.121582,383.3738708,12.96934228,16,107620,142017,1.420169964,21.97429944,,
20,19088125,19088125,FALSE,19088123,-90.82833862,29.98916817,3.579999924,10,0,3600,0.200000003,2484,0.039999999,1.00E-05,0.084573708,230.0243988,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539988,0.079999998,1150.121948,383.3739929,12.96934387,17,113721,135916,1.359159966,20.55412948,,
21,19088123,19088123,FALSE,19086191,-90.80754852,29.98933601,3.579999924,10,0,3600,0.200000003,3348,0.039999999,1.00E-05,0.084573694,230.0245056,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,675760,0.079999998,1150.122559,383.374176,12.96934803,18,116205,133432,1.334319966,19.19496952,,
22,19086191,19086191,FALSE,19086189,-90.78421783,30.00899124,3.579999924,10,0,3600,0.200000003,2848,0.039999999,1.00E-05,0.084573679,230.0245972,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585011,0.079999998,1150.122925,383.3743286,12.96935091,19,119553,130084,1.300839967,17.86064955,,
23,19086189,19086189,FALSE,19086187,-90.73978424,30.01455307,3.579999924,10,0,3600,0.200000003,6104,0.039999999,1.00E-05,0.084573641,230.0248108,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539991,0.079999998,1150.124023,383.3746643,12.96935552,20,122401,127236,1.272359968,16.55980958,,
24,19086187,19086187,FALSE,19086185,-90.68528748,30.0385952,3.579999924,10,0,3600,0.200000003,6151,0.039999999,1.00E-05,0.084573619,230.0249634,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539992,0.079999998,1150.124878,383.374939,12.96936242,21,128505,121132,1.211319969,15.28744961,,
25,19086185,19086185,FALSE,19086183,-90.63128662,30.03774452,3.579999924,10,0,3600,0.200000003,6109,0.039999999,1.00E-05,0.084573582,230.0251923,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539994,0.079999998,1150.125977,383.3753357,12.9693709,22,134656,114981,1.149809971,14.07612964,,
26,19086183,19086183,FALSE,19086179,-90.57679749,30.05148315,3.579999924,10,0,3600,0.200000003,6097,0.039999999,1.00E-05,0.084573552,230.0253448,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,650066,0.079999998,1150.126709,383.3755798,12.96937407,23,140765,108872,1.088719972,12.92631967,,
