Date,seconds,discharge-cms
2008-06-01 00:00:00,0.0,168.20207118
2008-06-01 01:00:00,4113.5704,167.84521828152813
2008-06-01 02:00:00,8272.617,167.18260090891596
2008-06-01 03:00:00,12481.9464,166.19753099207497
2008-06-01 04:00:00,16745.8421,169.59742125723437
2008-06-01 05:00:00,21063.7405,170.72665208612605
2008-06-01 06:00:00,,170.46438118274497
2008-06-01 07:00:00,25416.7249,170.2021102793639
2008-06-01 08:00:00,29809.1967,169.1050890169328
2008-06-01 09:00:00,34246.1822,167.50356603413326
2008-06-01 10:00:00,38732.9862,165.30077129098916
2008-06-01 11:00:00,,163.86811171513213
2008-06-01 12:00:00,43276.087,162.43545213927513
2008-06-01 13:00:00,47881.7897,159.21976104578897
2008-06-01 14:00:00,52556.7997,155.68851809206495
2008-06-01 15:00:00,57308.677,151.87152270890897
2008-06-01 16:00:00,,149.83294951413302
2008-06-01 17:00:00,62146.0943,147.79437631935704
2008-06-01 18:00:00,67079.2302,143.4770846772467
2008-06-01 19:00:00,,141.20702144380158
2008-06-01 20:00:00,72120.2663,138.93695821035644
2008-06-01 21:00:00,77284.161,134.1872056269131
2008-06-01 22:00:00,82589.8119,129.2378538495096
2008-06-01 23:00:00,,126.25321067546946
2008-06-02 00:00:00,88059.325,123.26856750142932
2008-06-02 01:00:00,,119.31886162249427
2008-06-02 02:00:00,93658.6603,115.36915574355923
2008-06-02 03:00:00,99369.3474,108.21741992190803
2008-06-02 04:00:00,,104.97100747526513
2008-06-02 05:00:00,105194.2772,101.72459502862222
2008-06-02 06:00:00,111136.7659,95.80962344862911
2008-06-02 07:00:00,,93.10430525074682
2008-06-02 08:00:00,117200.69,90.39898705286453
2008-06-02 09:00:00,,87.91308446848574
2008-06-02 10:00:00,123390.6483,85.42718188410694
2008-06-02 11:00:00,,83.1319833346486
2008-06-02 12:00:00,129712.1365,80.83678478519025
2008-06-02 13:00:00,136171.7574,76.57567701102347
2008-06-02 14:00:00,,74.58693548713133
2008-06-02 15:00:00,142777.5066,72.59819396323917
2008-06-02 16:00:00,,70.73095625644129
2008-06-02 17:00:00,149539.1349,68.8637185496434
2008-06-02 18:00:00,,67.1000449125177
2008-06-02 19:00:00,156468.6109,65.336371275392
2008-06-02 20:00:00,,63.65996147001148
2008-06-02 21:00:00,163580.7901,61.983551664630966
2008-06-02 22:00:00,,60.379959161515195
2008-06-02 23:00:00,170894.3584,58.776366658399425
2008-06-03 00:00:00,,56.528147740012834
2008-06-03 01:00:00,178391.8865,54.279928821626235
2008-06-03 02:00:00,,52.19472844401495
2008-06-03 03:00:00,185954.6758,50.109528066403655
2008-06-03 04:00:00,,48.372055714032456
2008-06-03 05:00:00,193559.2014,46.63458336166126
2008-06-03 06:00:00,,45.38472348892821
2008-06-03 07:00:00,201195.5142,44.13486361619516
2008-06-03 08:00:00,,43.96895004244452
2008-06-03 09:00:00,,43.803036468693875
2008-06-03 10:00:00,208857.7873,43.63712289494323
2008-06-03 11:00:00,,43.4222844090084
2008-06-03 12:00:00,216468.0901,43.207445923073564
2008-06-03 13:00:00,,43.05204266222357
2008-06-03 14:00:00,223900.6898,42.89663940137358
2008-06-03 15:00:00,,42.728213472324505
2008-06-03 16:00:00,231217.088,42.55978754327544
2008-06-03 17:00:00,,42.4766423958581
2008-06-03 18:00:00,238421.2983,42.39349724844076
2008-06-03 19:00:00,,42.33514724310666
2008-06-03 20:00:00,245515.9157,42.276797237772556
2008-06-03 21:00:00,,42.22103930554201
2008-06-03 22:00:00,252505.6095,42.16528137331146
2008-06-03 23:00:00,,42.094078606264965
2008-06-04 00:00:00,259396.9907,42.02287583921848
2008-06-04 01:00:00,266231.0679,41.908935820514685
2008-06-04 02:00:00,,41.8268930040979
2008-06-04 03:00:00,273105.6284,41.74485018768111
2008-06-04 04:00:00,,41.65708304644458
2008-06-04 05:00:00,280046.959,41.56931590520805
2008-06-04 06:00:00,,41.483589538638
2008-06-04 07:00:00,287068.5599,41.39786317206795
2008-06-04 08:00:00,,41.331654745488365
2008-06-04 09:00:00,294178.8598,41.26544631890877
2008-06-04 10:00:00,,41.22041887287379
2008-06-04 11:00:00,301385.403,41.175391426838814
2008-06-04 12:00:00,,41.14252632094193
2008-06-04 13:00:00,308695.652,41.10966121504505
2008-06-04 14:00:00,,41.079640458724796
2008-06-04 15:00:00,316117.9726,41.04961970240454
2008-06-04 16:00:00,,40.992057313493
2008-06-04 17:00:00,323662.8173,40.93449492458146
2008-06-04 18:00:00,,40.86260409815523
2008-06-04 19:00:00,,40.790713271729004
2008-06-04 20:00:00,331331.2837,40.71882244530278
2008-06-04 21:00:00,,40.72187102927935
2008-06-04 22:00:00,339134.0197,40.72491961325593
2008-06-04 23:00:00,,40.445423568607495
2008-06-05 00:00:00,347072.6642,40.16592752395906
2008-06-05 01:00:00,,39.81249201021075
2008-06-05 02:00:00,355125.9102,39.45905649646244
2008-06-05 03:00:00,,38.92541670029098
2008-06-05 04:00:00,363280.7964,38.391776904119524
